name	url	description
Bito AI Architect	https://bito.ai	Context layer for coding agents; grounds Cursor/Claude Code/Copilot via MCP; SWE-Bench Pro improvements
TabNine	https://tabnine.com	AI autocomplete tool running inside VS Code, JetBrains, Atom, Sublime; privacy-focused
Windsurf	https://windsurf.com	AI-powered IDE now owned by Cognition; Cascade agent for multi-file editing; built on VS Code
GitHub Copilot	https://github.com/features/copilot	AI pair programmer with model choice (GPT-5, Claude, Gemini); integrated into VS Code, JetBrains, Neovim
TabbyML	https://tabbyml.com	Open-source self-hosted AI coding assistant; deploy your own completion server
CodeGeeX	https://codegeex.cn	AI coding assistant built on multilingual model; 20+ languages; inline suggestions
Intellicode	https://visualstudio.microsoft.com/services/intellicode/	Microsoft AI coding assistant in Visual Studio and VS Code; learns from team codebase
Zed	https://zed.dev	High-performance open-source editor with AI assistant and agent mode; real-time collaboration
Void	https://voideditor.com	Open-source AI editor fork of VS Code; BYO any model including local; privacy-focused
Claude Code	https://anthropic.com/claude-code	Anthropic CLI-first coding agent running Claude Opus; terminal-based multi-step tasks
Cline	https://cline.bot	Open-source autonomous coding agent VS Code extension; BYO API key; human-in-the-loop approvals
Continue	https://continue.dev	Open-source AI code assistant for VS Code and JetBrains; BYO model; local via Ollama
Replit AI	https://replit.com	AI-powered online IDE with coding agent and autocomplete
Amazon Q Developer	https://aws.amazon.com/q/developer/	AWS AI coding assistant; formerly CodeWhisperer
JetBrains AI Assistant	https://jetbrains.com/ai/	AI assistant built into JetBrains IDEs
Aider	https://aider.chat	Free open-source terminal-based AI coding assistant (MIT); 100+ languages; auto-commit; multi-file edits
Augment Code	https://www.augmentcode.com	AI coding assistant for large codebases; 200K context window; Context Engine; SOC 2 Type II
Bolt.new	https://bolt.new	Browser-based full-stack development environment; generates web apps from natural language prompts
Devin	https://devin.ai	Autonomous AI software engineer by Cognition; acquired Windsurf
Morphllm	https://www.morphllm.com	AI coding comparison platform; cursor alternatives comparisons
Superblocks	https://www.superblocks.com	AI agent platform for internal tools and workflows
LogRocket Codegen	https://codegen.com	AI dev tool power rankings and code generation
Gemini CLI	https://geminicli.com	Terminal-first AI coding assistant using Google Gemini models; shell-aware execution; explicit file context loading
OpenAI Codex	https://chatgpt.com/features/codex	Agent-based AI coding platform for complex software engineering; CLI, IDE, and web interfaces; multi-file repository changes
GitHub Spark	https://github.com/features/spark	GitHub's micro-app builder included with Copilot Pro+ and Enterprise
Cursor Bugbot	https://cursor.com	AI-assisted code review add-on for Cursor; quick Ask queries and automatic fixes
InsiderLLM	https://insiderllm.com	Local LLM platform with guides on local coding agent alternatives
Tembo	https://www.tembo.io	Background coding agent orchestration platform; runs Claude Code, Codex, Cursor, Gemini in cloud; triggers from Slack/Linear/GitHub
Gemini Code Assist	https://codeassist.google	Google's IDE AI coding plugin; free tier ~180K completions/month; VS Code, JetBrains, Android Studio
JetBrains Junie	https://jetbrains.com/ai/	JetBrains AI coding agent for multi-step tasks inside IntelliJ, PyCharm, GoLand, etc.
Qodo	https://qodo.ai	AI coding tool focused on code health and quality; testing, code review, PR readiness; formerly Codium; Qodo Gen IDE plugins
Sourcegraph Cody	https://sourcegraph.com/cody	AI assistant with graph-based cross-repository code analysis; architectural awareness; enterprise-only
OpenCode	https://opencode.ai	Open-source terminal coding agent; drop-in replacement for Claude Code in terminal workflows
Supermaven	https://supermaven.com	Fast AI code completion engine; free and pro tiers; low latency autocomplete
Builder.io	https://builder.io	Visual development platform with AI; GitHub Copilot alternative comparison
