name	maker	license	url	source_code_url	what_makes_it_special	platforms	first_released	current_release
Baidu Miaoda	Baidu	Proprietary	https://cloud.baidu.com/product/miaoda		Baidu's no-code application building agent that generates websites, mini-programs, and H5 from natural language	Web	2024	2026
NetEase Youdao Lobster	NetEase	Proprietary	https://youdao.com		NetEase Youdao's intelligent coding agent with local execution, code auto-generation, debugging, and deployment	Web;Desktop	2024	2026
Huawei CodeArts	Huawei Cloud	Proprietary	https://www.huaweicloud.com/product-codearts.html		Huawei Cloud's AI-native intelligent coding product with code generation, R&D knowledge Q&A, and unit test generation. Supports HarmonyOS	IDE	2023	2026
iFlyCode	iFlytek	Proprietary	https://iflycode.com		iFlytek's AI coding assistant powered by Spark large model	IDE;Web	2023	2026
MoonBit Pilot	IDEA Research Institute	MIT	https://www.moonbitlang.com	https://github.com/moonbitlang/moonbit-doc	World's first bottom-up code agent, full-stack AI-native, described as faster and more stable than Cursor	CLI;IDE	2024	2026
WorkBuddy	Tencent	Proprietary	https://workbuddy.tencent.com		Tencent's AI-native desktop agent workbench for office automation, code generation, and logic optimization	Desktop	2025	2026
LinkAI	LinkAI	Proprietary	https://linkai.cn		Enterprise-grade AI agent building platform with zero-code agent construction	Web	2023	2026
SharpClawCode	Independent	MIT	https://github.com/sharpclaw/sharpclawcode	https://github.com/sharpclaw/sharpclawcode	C# native coding agent runtime	CLI	2025	2026
yoyo	Independent	MIT	https://github.com/yoyolab/yoyo	https://github.com/yoyolab/yoyo	Self-evolving AI coding agent	CLI	2025	2026
zhikuncode	Independent	MIT	https://github.com/Jstdi001/zhikuncode	https://github.com/Jstdi001/zhikuncode	Open source AI coding assistant with Web UI	CLI;Web	2025	2026
DeepSeek-TUI	Independent	MIT	https://github.com/deepseek-tui/deepseek-tui	https://github.com/deepseek-tui/deepseek-tui	Open source terminal coding agent adapted for DeepSeek V4	CLI	2025	2026
Continous AI	Independent	MIT	https://github.com/continous-ai/continous	https://github.com/continous-ai/continous	World's first continuous learning AI coding agent, fully free and open source	CLI	2025	2026
qoder-cli	Qoder	MIT	https://github.com/qoder-cli/qoder-cli	https://github.com/qoder-cli/qoder-cli	Next-generation CLI AI coding agent based on Qwen programming large model	CLI	2025	2026
