name	url	description
a0.dev	https://a0.dev	Mobile Apps in minutes
AI Magicx	https://aimagicx.com	AI Magicx enhances creativity with AI-driven design and coding
Aider	https://aider.chat	Open-source (Apache 2.0) AI pair programming tool in terminal; any LLM provider; full codebase mapping; auto git commits
Amazon Q Developer	https://aws.amazon.com/q/developer	AWS AI coding assistant; generate CloudFormation, explain IAM, debug Lambda, /transform for Java upgrades
Appacella	https://appacella.ai	AI turns your Idea in to mobile app in seconds
Augment Code	https://www.augmentcode.com	Context Engine indexes entire repository; SOC 2 Type II; VPC and on-premises deployment for large codebases
AutoRegex	https://www.autoregex.xyz	Effortlessly generate and understand regex with natural language
Base44	https://base44.com	AI app builder — prompt-to-app builder that scaffolds working full-stack build from a description
BashSenpai	https://bashsenpai.com	AI assistant transforms instructions into terminal commands seamlessly
Bitbucket	https://bitbucket.org	Git-based code and CI/CD tool with AI-powered features (PR descriptions, generative AI editing, Atlassian Rovo)
BLACKBOX.AI	https://www.blackbox.ai	Revolutionize coding: AI generation, conversational code help, intuitive search
Bloop	https://bloop.ai	Transform legacy COBOL into modern Java effortlessly with AI
Bolt	https://bolt.new	AI-powered full-stack web development platform
Bolt New AI	https://bolt.new	Create real software through natural conversation
bolt.diy	https://github.com/stackblitz-labs/bolt.diy	AI-powered full-stack web development with multi-LLM support in your browser
Cades	https://cades.dev	AI-powered app builder transforms ideas into functional applications
Claude Code	https://claude.com/product/claude-code	Terminal-based autonomous agent by Anthropic; 12+ hour autonomous sessions, 3000+ MCP integrations
Claw Code	https://github.com/clawcode/claw-code	Open-source framework for building AI coding agents
Cluing	https://www.cluing.io	Where agents and humans learn, build, and ship; agents, API, MCP, process automation
Coddy	https://coddy.tech	Coding education platform with courses, practice, and AI assistance; integrated compiler, daily challenges
Code Arena	https://www.arena.ai/code	Platform to compare AI coding models and generate multi-file apps side-by-side; export to GitHub or IDE
CodeGeeX	https://codegeex.cn	Streamlines coding with AI-driven completion and debugging
Codev	https://codev.ai	AI-powered platform for creating scalable, full-stack apps using natural language
Codex	https://openai.com/codex	Async terminal agent by OpenAI; headless execution queue, Windows computer use, mobile remote coding
Coginiti	https://www.coginiti.co	AI-powered platform revolutionizing data analytics and SQL development
Cognition AI	https://www.cognition.ai	Revolutionize software development with AI-driven coding automation
Command Code	https://commandcode.ai	AI coding agent that learns your coding taste; terminal-based with interactive, headless, and sandbox modes
Continue	https://continue.dev	Open-source AI code assistant for customizable autocomplete and chat experiences in IDEs (VS Code, JetBrains)
Cursor	https://cursor.com	IDE-embedded agent for VS Code; Tab autocomplete, Parallel Background Agents, multi-model routing, Bugbot
Deepnote	https://deepnote.com	Revolutionize data analysis with AI-driven notebook automation and security
DeepSite	https://deepsite.dev	Experience the power of DeepSite's AI website generation in real-time
DeepWiki	https://deepwiki.com	AI-powered documentation generator for GitHub repos with conversational interface
Devika AI	https://github.com/stitionai/devika	An open-source autonomous AI software engineer designed to autonomously write and fix code.
Devin	https://devin.ai	Full AI software engineer by Cognition; GitHub issues through development, testing, PR creation autonomously
Devin AI	https://devin.ai	Autonomous AI software engineer developed by Cognition
Devra	https://devra.ai	Your AI Coding Worker Bee
Dosu	https://dosu.dev	Streamline GitHub management: automate responses, triage bugs, update docs
Durable AI	https://durable.ai	Create custom software effortlessly with AI-powered development
Emergent	https://app.emergent.sh	Build scalable apps with AI-driven tools
ERNIE Comate (Baidu Comate)	https://comate.baidu.com	AI coding assistant for code generation and productivity; unit tests, comments, Q&A, refactoring; hundreds of languages
Factory	https://www.factory.ai	Revolutionize software development with autonomous AI-driven Droids
Fast.ai	https://www.fast.ai	Simplifies deep learning with accessible courses and tools
Floot	https://floot.ai	Vibecoding, vibe coding, no code, AI app builder, website builder
Gemini CLI	https://github.com/google-gemini/gemini-cli	Google's open-source terminal coding agent; free Gemini 3.1 Pro; 1M-token context; Google Search grounding
GitFluence	https://www.gitfluence.com	AI-powered instant Git command suggestions for streamlined development workflows
GitHub Copilot	https://github.com/features/copilot	IDE plugin by Microsoft/GitHub; 83% enterprise adoption; Workspace for multi-file editing
