github_repo	name	url	license	maker	owner_type	description	language	stars	homepage	created_at	pushed_at	archived	topics	error
anomalyco/opencode	OpenCode	https://github.com/anomalyco/opencode	MIT	anomalyco	Organization	The open source coding agent.	TypeScript	199244	https://opencode.ai	2025-04-30T20:08:00Z	2026-08-20T00:59:37Z	False		
anthropics/claude-code	Claude Code	https://github.com/anthropics/claude-code	None	anthropics	Organization	Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands.	Python	142023	https://code.claude.com/docs/en/overview	2025-02-22T17:41:21Z	2026-08-20T00:54:41Z	False		
google-gemini/gemini-cli	Gemini CLI	https://github.com/google-gemini/gemini-cli	Apache-2.0	google-gemini	Organization	An open-source AI agent that brings the power of Gemini directly into your terminal.	TypeScript	106586	https://geminicli.com	2025-04-17T17:04:31Z	2026-08-19T21:33:30Z	False	ai;ai-agents;cli;gemini;gemini-api;mcp-client;mcp-server	
openai/codex	Codex CLI	https://github.com/openai/codex	Apache-2.0	openai	Organization	Lightweight coding agent that runs in your terminal	Rust	106866		2025-04-13T05:37:54Z	2026-08-19T23:18:04Z	False		
OpenHands/OpenHands	OpenHands	https://github.com/OpenHands/OpenHands	MIT	OpenHands	Organization	🙌 OpenHands: AI-Driven Development	TypeScript	84512	https://openhands.dev	2024-03-13T03:33:31Z	2026-08-20T00:15:58Z	False	agent;artificial-intelligence;chatgpt;claude-ai;cli;developer-tools;gpt;llm;openai	
earendil-works/pi	Pi	https://github.com/earendil-works/pi	MIT	earendil-works	Organization	AI agent toolkit: unified LLM API, agent loop, TUI, coding agent CLI	TypeScript	93793		2025-08-09T14:03:50Z	2026-08-19T22:29:09Z	False		
openinterpreter/openinterpreter	Open Interpreter	https://github.com/openinterpreter/openinterpreter	Apache-2.0	openinterpreter	Organization	A coding agent for open models like Kimi K3	Rust	68078	http://openinterpreter.com/	2023-07-14T07:10:44Z	2026-08-20T00:50:37Z	False	acp;coding-agent;deepseek;kimi;qwen;rust	
cline/cline	Cline	https://github.com/cline/cline	Apache-2.0	cline	Organization	Autonomous coding agent as an SDK, IDE extension, or CLI assistant.	TypeScript	66500	https://cline.bot	2024-07-06T07:28:10Z	2026-08-20T00:59:19Z	False		
warpdotdev/warp	Warp	https://github.com/warpdotdev/warp	AGPL-3.0	warpdotdev	Organization	Warp is an agentic development environment, born out of the terminal.	Rust	64362	https://warp.dev	2021-07-08T18:48:08Z	2026-08-20T00:57:28Z	False	bash;linux;macos;rust;shell;terminal;wasm;zsh	
aaif-goose/goose	Goose	https://github.com/aaif-goose/goose	Apache-2.0	aaif-goose	Organization	an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM	Rust	53013	https://goose-docs.ai/	2024-08-23T19:03:36Z	2026-08-20T01:00:32Z	False	acp;ai;ai-agents;mcp	
Aider-AI/aider	Aider	https://github.com/Aider-AI/aider	Apache-2.0	Aider-AI	Organization	aider is AI pair programming in your terminal	Python	48333	https://aider.chat/	2023-05-09T18:57:49Z	2026-05-22T14:02:20Z	False	anthropic;chatgpt;claude-3;cli;command-line;gemini;gpt-3;gpt-35-turbo;gpt-4;gpt-4o;llama;openai;sonnet	
continuedev/continue	Continue	https://github.com/continuedev/continue	Apache-2.0	continuedev	Organization	open-source coding agent	TypeScript	35546	https://continue.dev	2023-05-24T03:39:39Z	2026-08-19T06:27:27Z	False	agent;ai;cli;developer-tools;open-source	
Pythagora-io/gpt-pilot	GPT Pilot	https://github.com/Pythagora-io/gpt-pilot	NOASSERTION	Pythagora-io	Organization	The first real AI developer	Python	33694		2023-08-16T11:56:07Z	2026-06-18T18:38:25Z	False	ai;codegen;coding-assistant;developer-tools;gpt-4;research-project	
cursor/cursor	Cursor	https://github.com/cursor/cursor	None	cursor	Organization		None	33145	https://cursor.com	2023-03-12T00:19:42Z	2026-05-12T15:25:06Z	False		
esengine/DeepSeek-Reasonix	DeepSeek Reasonix	https://github.com/esengine/DeepSeek-Reasonix	MIT	esengine	User	DeepSeek-native AI coding agent for your terminal. Engineered around prefix-cache stability — leave it running.	Go	34874	http://reasonix.io/	2026-04-21T08:27:02Z	2026-08-20T00:56:08Z	False	agent;agent-framework;ai-agent;ai-coding;cli;coding-agent;deepseek;developer-tools;dsh;dsh-plugin;ink;llm;prompt-caching;r1;terminal;tool-use;tui;typescript	
langchain-ai/deepagents	Deep Agents Code	https://github.com/langchain-ai/deepagents	MIT	langchain-ai	Organization	The batteries-included agent harness.	Python	27950	https://docs.langchain.com/deepagents	2025-07-27T23:07:53Z	2026-08-20T00:42:53Z	False	ai;deepagents;langchain;langgraph;python;typescript	
charmbracelet/crush	Crush	https://github.com/charmbracelet/crush	NOASSERTION	charmbracelet	Organization	Glamourous agentic coding for all 💘	Go	27506		2025-05-21T12:14:57Z	2026-08-20T00:24:12Z	False	agentic-ai;ai;llms;ravishing	
Kilo-Org/kilocode	Kilo Code	https://github.com/Kilo-Org/kilocode	MIT	Kilo-Org	Organization	Kilo is the all-in-one agentic engineering platform. Build, ship, and iterate faster with the most popular open source coding agent.	TypeScript	26937	https://kilo.ai/	2025-03-10T15:34:26Z	2026-08-20T00:22:30Z	False	ai;ai-age;ai-coding;ai-developer-tools;chatgpt;claude;cli;gemini;jetbrains;sonnet;vscode;vscode-extension	
QwenLM/qwen-code	Qwen Code	https://github.com/QwenLM/qwen-code	Apache-2.0	QwenLM	Organization	An open-source AI coding agent that lives in your terminal.	TypeScript	27200	https://qwenlm.github.io/qwen-code-docs/en/users/overview	2025-06-26T01:37:46Z	2026-08-20T00:59:42Z	False	agentic;ai;ai-agent;ai-coding;cli;coding-agent;developer-tools;llm;mcp;qwen;terminal;typescript	
xai-org/grok-build	Grok Build	https://github.com/xai-org/grok-build	Apache-2.0	xai-org	Organization	SpaceXAI's coding agent harness and TUI. Fullscreen, mouse interactive, extensible.	Rust	25708		2026-07-14T20:04:23Z	2026-08-19T19:55:39Z	False		
can1357/oh-my-pi	OH-MY-PI	https://github.com/can1357/oh-my-pi	MIT	can1357	User	⌥  AI Coding agent for the terminal — hash-anchored edits, optimized tool harness, LSP, Python, browser, subagents, and more	TypeScript	25881	https://omp.sh	2025-12-31T14:01:28Z	2026-08-19T22:57:40Z	False	ai-agent;ai-coding-agent;anthropic;bun;claude;cli;coding-assistant;llm;mcp;multi-provider;openai;rust;terminal;tui;typescript	
dyad-sh/dyad	Dyad	https://github.com/dyad-sh/dyad	NOASSERTION	dyad-sh	Organization	Local, open-source AI app builder for power users ✨ v0 / Lovable / Replit / Bolt alternative 🌟 Star if you like it!	TypeScript	21282	https://dyad.sh	2025-04-11T06:33:48Z	2026-08-20T00:01:57Z	False	ai-app-builder;anthropic;artificial-intelligence;bolt;deepseek;gemini;generative-ai;github;llm;llms;lovable;nextjs;ollama;openai;qwen;react;typescript;v0;vercel	
SWE-agent/SWE-agent	SWE-agent	https://github.com/SWE-agent/SWE-agent	MIT	SWE-agent	Organization	SWE-agent takes a GitHub issue and tries to automatically fix it, using your LM of choice. It can also be employed for offensive cybersecurity or competitive coding challenges. [NeurIPS 2024] 	Python	20079	https://swe-agent.com	2024-04-02T04:09:47Z	2026-08-17T22:33:19Z	False	agent;agent-based-model;ai;cybersecurity;developer-tools;llm;lms	
stitionai/devika	Devika	https://github.com/stitionai/devika	MIT	stitionai	Organization	Devika is the first open-source implementation of an Agentic Software Engineer. Initially started as an open-source alternative to Devin.	Python	19559	https://winfunc.com	2024-03-21T03:03:21Z	2025-09-25T08:47:36Z	False		
stackblitz/bolt.new	Bolt	https://github.com/stackblitz/bolt.new	MIT	stackblitz	Organization	Prompt, run, edit, and deploy full-stack web applications. -- bolt.new -- Help Center: https://support.bolt.new/ -- Community Support: https://discord.com/invite/stackblitz	TypeScript	16520	https://bolt.new	2024-09-24T16:07:49Z	2024-12-17T06:29:27Z	False	ai-playground;anthropic;chatbot;webcontainers-api	
HKUDS/DeepCode	DeepCode	https://github.com/HKUDS/DeepCode	MIT	HKUDS	Organization	"DeepCode: Open Agentic Coding (Agent Harness & Loop Engineering & Multi-Agent Orchestration)"	Python	16375	http://arxiv.org/abs/2512.07921	2025-05-14T05:23:02Z	2026-08-19T20:34:32Z	False	agentic-coding;harness-engineering;llm-agent	
plandex-ai/plandex	Plandex	https://github.com/plandex-ai/plandex	MIT	plandex-ai	Organization	Open source AI coding agent. Designed for large projects and real world tasks.	Go	15588	https://plandex.ai	2023-10-24T22:11:43Z	2025-10-03T21:49:58Z	False	ai;ai-agents;ai-developer-tools;ai-tools;cli;command-line;developer-tools;git;golang;gpt-4;llm;openai;polyglot-programming;terminal;terminal-based;terminal-ui	
1jehuang/jcode	JCode	https://github.com/1jehuang/jcode	MIT	1jehuang	User	The most RAM efficient harness	Rust	18016	https://jcode.sh	2026-01-05T09:43:36Z	2026-08-19T06:30:28Z	False	ai;ai-agent;ai-coding-agent;claude;cli;coding-agent;llm;mcp;openai;rust;terminal;tui	
XiaomiMiMo/MiMo-Code	MiMo Code	https://github.com/XiaomiMiMo/MiMo-Code	MIT	XiaomiMiMo	Organization	MiMo Code: Where Models and Agents Co-Evolve	TypeScript	12801	https://mimo.xiaomi.com/mimocode	2026-06-10T11:52:41Z	2026-08-19T15:45:43Z	False	ai;ai-agents;cli;mimo;mimo-code	
bytedance/trae-agent	Trae Agent	https://github.com/bytedance/trae-agent	MIT	bytedance	Organization	Trae Agent is an LLM-based agent for general purpose software engineering tasks.	Python	12037	https://www.trae.ai/	2025-06-13T12:05:15Z	2026-02-05T11:21:00Z	False	agent;llm;software-engineering	
Doriandarko/claude-engineer	Claude Engineer	https://github.com/Doriandarko/claude-engineer	None	Doriandarko	User	Claude Engineer is an interactive command-line interface (CLI) that leverages the power of Anthropic's Claude-3.5-Sonnet model to assist with software development tasks.This framework enables Claude to generate and manage its own tools, continuously expanding its capabilities through conversation. Available both as a CLI and a modern web interface	Python	11225		2024-06-24T16:52:12Z	2024-12-12T22:08:15Z	False		
MoonshotAI/kimi-cli	Kimi Code CLI	https://github.com/MoonshotAI/kimi-cli	Apache-2.0	MoonshotAI	Organization	Kimi Code CLI is your next CLI agent.	Python	11220	https://moonshotai.github.io/kimi-cli/	2025-10-15T12:58:03Z	2026-08-03T07:59:07Z	False		
github/copilot-cli	GitHub Copilot CLI	https://github.com/github/copilot-cli	NOASSERTION	github	Organization	GitHub Copilot CLI brings the power of Copilot coding agent directly to your terminal. 	Shell	11101		2023-01-06T09:22:30Z	2026-08-19T23:16:31Z	False		
langchain-ai/open-swe	Open SWE	https://github.com/langchain-ai/open-swe	MIT	langchain-ai	Organization	An Open-Source Asynchronous Coding Agent	Python	10577	https://www.langchain.com/blog/open-swe-an-open-source-framework-for-internal-coding-agents	2025-05-21T21:44:24Z	2026-08-19T23:56:43Z	False	agent;agents;ai;anthropic;claudecode;llm;llms;openai	
CodebuffAI/codebuff	Codebuff	https://github.com/CodebuffAI/codebuff	Apache-2.0	CodebuffAI	Organization	The free coding agent	TypeScript	10103	https://freebuff.com	2024-07-09T21:21:56Z	2026-08-20T00:59:53Z	False		
tailcallhq/forgecode	ForgeCode	https://github.com/tailcallhq/forgecode	Apache-2.0	tailcallhq	Organization	AI enabled pair programmer for Claude, GPT, O Series, Grok, Deepseek, Gemini and 300+ models	Rust	7497	https://forgecode.dev	2024-12-08T20:33:37Z	2026-08-19T23:28:18Z	False	ai-pair-programming;ai-workflows;artifical-intelligense;claude-3-7-sonnet;claude-4;claude-4-sonnet;cli-assistant;command-line;grok;llm;multi-agent-reinforcement-learning;open-router;open-source-claude-code;openai;qwen;shell	
stagewise-io/stagewise	Stagewise	https://github.com/stagewise-io/stagewise	AGPL-3.0	stagewise-io	Organization	The Open Source Agentic IDE. Create and orchestrate coding agents, show app previews and run git workflows. Use your favorite models across all providers.	TypeScript	6782	https://stagewise.io	2025-04-26T12:43:16Z	2026-08-17T19:00:31Z	False	agent;agent-orchestration;ide	
