abacusai/deepagent-releases	80	A powerful desktop AI assistant with agentic browsing, listening, coding CLI and editor	coding cli
aetherstudio-cn/AetherStudio	87	A lightweight code editor natively built for Windows, featuring instant launch, ultra-low latency, and deep AI integration, delivering a smooth and productive coding experience for developers.	code editor
agent-room-alkl/agent-room	32	Put Claude Code, Cursor, Codex, Gemini & Antigravity in one room — real-time multi-agent AI collaboration over MCP for distributed dev, code review, PR handoff & frontend↔backend integration. Free, self-hostable, MCP-native.	multi-agent
AizenvoltPrime/damocles	72	A VS Code extension that embeds an AI coding agent (Claude and GPT and other models) in your editor, powered by the Pi agent runtime.	coding agent
alicheg/gpt-coder	26	An AI-driven code generation tool that creates and solves code challenges using OpenAI's GPT models, featuring auto-refinement, automated testing, compilation.	code generation
allenai/marg-reviewer	64	Code/data for MARG (multi-agent review generation)	multi-agent
anis-marrouchi/shadxn	86	 Experimenting with AI our way into the unknown — monorepo: agentx (agentic code generation engine) + shadxn (component registry & transforms)	code generation
aozyildirim/Agena	97	Agentic AI platform with pixel agent technology — autonomous code generation, PR automation & multi-tenant SaaS	code generation
AppGram/agentnotch	211	AgentNotch is a sleek macOS menu bar app that lives in your Mac's notch, providing real-time visibility into your AI coding assistants. Watch as Claude Code and OpenAI Codex think, read files, and execute tools — all without leaving your editor.	coding assistant
Arfo-du-blo/cursor-in-browser	65	Deploy and use Cursor - The AI Code Editor directly in a web browser	code editor
arjunhw97/MSN-Flocking-Formation-Control	44	A MATLAB program that implements Multi-agent flocking, following a target, avoiding obstacles	multi-agent
ascorbic/am-i-vibing	346	Detect agentic coding environments and AI editors	agentic coding
ashish200729/orbiteditor	57	Open-source AI code editor and Cursor alternative with multi-agent workflows, BYOK, local models, and self-hosted agents for macOS and Windows.	code editor
Asklear/Klear-Team-Brain	84	Turn your team's AI coding sessions, GitHub code, and docs into one shared, searchable memory — a self-hosted git truth store you query right from your editor over MCP.	ai coding
attilaszasz/sdd-pilot	95	Replace chaotic AI code generation with a disciplined, spec-driven workflow. SDD Pilot enforces structured development phases and quality gates, leveraging AI agents to conduct online research for best practices and plan your architecture before a single line of code is written.	code generation
boneylizard/Eloquent	66	The most feature-complete local AI workstation. Multi-GPU inference, integrated Stable Diffusion + ADetailer, voice cloning, research-grade ELO testing, and tool-calling code editor. 100% local. Zero subscriptions. Your GPUs deserve better.	code editor
BrowserOperator/browser-operator-core	500	Browser Operator - The AI browser with built in Multi-Agent platform! Open source alternative to ChatGPT Atlas, Perplexity Comet, Dia and Microsoft CoPilot Edge Browser	multi-agent
brutusin/instrumentation	48	An extensible java agent framework that instruments (modifies the bytecode at class loading time) programs running on the JVM, with the purpose of capturing method invocation events (start, finish, errors ...) and notifying custom listeners.	agent framework
d-kimuson/claude-code-viewer	1272	A full-featured web-based Claude Code client that provides complete interactive functionality for managing Claude Code projects	code cli
