name	maker	url	extra	description	source
Google AI Studio Build	Google	https://aistudio.google.com	web	Full-stack vibe coding with Antigravity agent + built-in Firebase (AI Studio 2.0, 2026)	firebase.blog Google I/O 2026
Google Opal	Google	https://opal.withgoogle.com	web	No-code mini-app builder that chains prompts into shareable AI apps	Big tech channel
AWS Transform	Amazon/AWS	https://aws.amazon.com/transform/	vertical:migration	Agentic modernization of .NET, mainframe, and VMware workloads	Big tech channel
Xcode Coding Intelligence	Apple	https://developer.apple.com/xcode/	standalone IDE	Xcode 26 built-in coding agent with ChatGPT/Claude backends and Swift Assist	Big tech channel
Rovo Dev	Atlassian	https://www.atlassian.com/software/rovo-dev	CLI	Atlassian coding agent (CLI + Jira/Bitbucket integration) built on Teamwork Graph	atlassian.com/blog rovo-dev-command-line-interface
Agentforce for Developers	Salesforce	https://developer.salesforce.com	IDE plugin	AI coding agent for Apex/Salesforce development (ex Einstein for Developers)	Big tech channel
SAP Joule for Developers	SAP	https://www.sap.com/products/artificial-intelligence/ai-assistant.html	vertical:platform codegen	Joule developer agents for ABAP/SAP Build Code	CIO.com enterprise agents 2026
Oracle Code Assist	Oracle	https://www.oracle.com/application-development/code-assist/	IDE plugin	Java/SQL-optimized enterprise coding assistant	Big tech channel
Databricks Assistant	Databricks	https://www.databricks.com	vertical:data/SQL	AI assistant that writes and fixes notebooks, SQL, and pipelines	Big tech channel
Netlify AI	Netlify	https://www.netlify.com	web	Agent-native platform ("Agent Runners") to build/deploy web apps from prompts	producthunt.com/categories/ai-coding-agents
Doubao MarsCode	ByteDance	https://www.marscode.com	IDE plugin	ByteDance cloud IDE/AI assistant, folded into the Trae brand	Chinese ecosystem channel
iFlow CLI	Alibaba (Xinliu)	https://platform.iflow.cn	CLI	Free Chinese terminal coding agent	Chinese ecosystem channel
Baidu Comate	Baidu	https://comate.baidu.com	IDE plugin	Baidu's AI coding assistant (Wenxin Kuaima) with Zulu agent	Chinese ecosystem channel
Raccoon Code	SenseTime	https://raccoon.sensetime.com	IDE plugin	SenseTime's code assistant (代码小浣熊)	Chinese ecosystem channel
CodeGeeX	Zhipu AI (Z.ai)	https://codegeex.cn	IDE plugin	Zhipu's multilingual coding assistant (open-source core)	Chinese ecosystem channel
MiniMax Agent	MiniMax	https://agent.minimax.io	web	Agent that builds and deploys full-stack web apps from prompts	Chinese ecosystem channel
Youware	Youware	https://www.youware.com	web	Vibe-coding web app/site builder from Chinese team	Chinese ecosystem channel
Trickle	Trickle	https://www.trickle.so	web	AI website/app builder with agent workflow	Chinese ecosystem channel
Blitzy	Blitzy	https://blitzy.com	cloud-autonomous	Batch autonomous engineering platform for enterprise-scale codebases	slashdot alternatives / devshelfhub
Charlie Labs	Charlie Labs	https://charlielabs.ai	cloud-autonomous	Charlie: GitHub-native AI engineer for issues-to-PRs	autonomous SWE channel
Tembo	Tembo	https://www.tembo.io	cloud-autonomous	Production-error-to-PR autonomous dev agent (pivoted from Postgres)	tembo.io devin-alternatives
Gitar	Gitar	https://gitar.co	cloud-autonomous	Code-change automation agents for migrations, cleanup, and PRs	autonomous SWE channel
Solver	Laredo Labs	https://solverai.com	cloud-autonomous	Repo-native autonomous software engineering platform	autonomous SWE channel
Ona	Ona (formerly Gitpod)	https://ona.com	cloud-autonomous	Gitpod rebranded 2025 into parallel cloud software engineering agents	European ecosystem channel
Niteshift	Niteshift	https://niteshift.dev	cloud-autonomous	Model-agnostic full-stack cloud for coding agents; $7M Greylock seed (2026, ex-Datadog)	techcrunch.com 2026/06/10
8090	8090 Labs	https://www.8090.ai	cloud-autonomous	Chamath Palihapitiya's spec-to-deploy AI-native software platform; $135M Series A 2026	techcrunch.com 2026/06/29
Code Metal	Code Metal	https://www.codemetal.ai	vertical:code translation	Verifiable AI code translation for edge/defense/automotive; $125M Series B	techcrunch unicorns list
Fume	Fume (YC)	https://fume.app	cloud-autonomous	AI software engineer that fixes bugs from Sentry/Slack	YC directory
Bismuth	Bismuth	https://www.bismuth.sh	cloud-autonomous	Coding agent focused on finding and fixing bugs autonomously	autonomous SWE channel
Pythagora	Pythagora	https://www.pythagora.ai	standalone IDE	All-in-one AI dev platform (GPT Pilot core) from prompt to deployed app	web app builder channel
Devlo	Devlo	https://devlo.ai	cloud-autonomous	GitHub-native AI developer agent for issues and PRs	code review channel
Omnara	Omnara (YC S25)	https://omnara.com	web	Mobile/web command center to launch and steer coding agents from anywhere	YC directory
Agent FM	Agent FM (YC)	https://www.ycombinator.com/companies/agent-fm	standalone IDE	Desktop group-chat cockpit to hear and steer multiple coding agents	cbinsights.com YC Spring25 agentic AI
Murmell	Murmell	https://murmell.com	web	Shared cloud canvas where teams and multiple coding agents work one repo together	producthunt.com/products/murmell
Greplica	Greplica	https://www.producthunt.com/products/greplica	vertical:agent memory	Self-updating codebase wiki/shared memory for coding agents (OSS core + managed)	Product Hunt launches
CrewTower	CrewTower	https://www.producthunt.com/categories/ai-coding-agents	vertical:agent supervision	Control and approval layer for coding-agent workflows	Product Hunt AI coding agents category
Chiplab	Chiplab	https://www.producthunt.com/categories/ai-coding-agents	vertical:firmware testing	Virtual firmware testing/debugging without physical hardware	Product Hunt AI coding agents category
Refact.ai	Refact	https://refact.ai	IDE plugin	Open-source-core agentic assistant with enterprise self-hosting	CLI/plugin channel
Reflection AI	Reflection	https://reflection.ai	vertical:code understanding	Asimov code-research agent; raised $2B (2025)	funding news channel
Tessl	Tessl	https://tessl.io	cloud-autonomous	Spec-driven AI-native development framework/registry; $125M raised (UK)	newmarketpitch AI code assistant fundraising
Famous	Famous.ai	https://famous.ai	web	Prompt-to-app vibe coding platform	web builder channel
Hostinger Horizons	Hostinger	https://www.hostinger.com/horizons	web	Hosted no-code AI web app builder	web builder channel
Same	Same (YC)	https://same.new	web	Agent that clones and rebuilds websites from a URL/prompt	YC directory
Townie	Val Town	https://www.val.town	web	AI assistant that writes and deploys server vals/apps	web builder channel
Websim	Websim	https://websim.com	web	Imaginary-web app generator turned consumer vibe-coding site	web builder channel
Creatr	Creatr	https://getcreatr.com	web	Prompt-to-web-app/landing page builder	web builder channel
Framer AI	Framer	https://www.framer.com	web	AI site generation (Wireframer/Workshop) inside Framer	web builder channel
Webflow AI Assistant	Webflow	https://webflow.com	web	AI page/component generation in Webflow	web builder channel
Airtable Omni	Airtable	https://www.airtable.com	web	AI app-building agent inside Airtable	web builder channel
Retool AI	Retool	https://retool.com	web	AI app generation and agents for internal tools	web builder channel
Clark	Superblocks	https://www.superblocks.com	web	Enterprise AI internal-app builder agent; $23M raise	funding news channel
Glide AI	Glide	https://www.glideapps.com	web	AI-generated business apps from prompts/data	web builder channel
Builder.ai	Builder.ai	https://www.builder.ai	web	"AI-powered" app assembly platform; collapsed into insolvency 2025	en.wikipedia.org/wiki/Builder.ai
Instance	Instance	https://apps.apple.com/app/id6744366024	web	iOS vibe-coding app for building mobile apps without code	App Store / mobile channel
Firebender	Firebender (YC W24)	https://firebender.com	IDE plugin	Coding agent for Android Studio with emulator and LSP access	firebender.com / YC directory
Alex Sidebar	Alex	https://www.alexcodes.app	IDE plugin	AI coding sidebar for Xcode/iOS developers	G2 / mobile dev channel
Subframe	Subframe	https://www.subframe.com	vertical:UI generation	AI UI editor generating production React	UI generation channel
Polymet	Polymet	https://polymet.ai	vertical:UI generation	AI product designer producing design + code	UI generation channel
Locofy	Locofy	https://www.locofy.ai	vertical:UI generation	Design-to-code with AI (LocoAI/Lightning)	UI generation channel
