channel,name,maker,url,description
Commercial / closed-source,8090,8090 Labs,https://www.8090.ai,Chamath Palihapitiya's spec-to-deploy AI-native software platform; $135M Series A 2026
Commercial / closed-source,Agent FM,Agent FM (YC),https://www.ycombinator.com/companies/agent-fm,Desktop group-chat cockpit to hear and steer multiple coding agents
Commercial / closed-source,Agentforce for Developers,Salesforce,https://developer.salesforce.com,AI coding agent for Apex/Salesforce development (ex Einstein for Developers)
Commercial / closed-source,Aikido Autofix,Aikido Security,https://www.aikido.dev,AI autofix PRs for vulnerabilities (Belgium)
Commercial / closed-source,Airtable Omni,Airtable,https://www.airtable.com,AI app-building agent inside Airtable
Commercial / closed-source,Alex Sidebar,Alex,https://www.alexcodes.app,AI coding sidebar for Xcode/iOS developers
Commercial / closed-source,Amplify Security,Amplify,https://www.amplify.security,Auto-remediation of code vulnerabilities in CI
Commercial / closed-source,Askui,AskUI,https://www.askui.com,Vision-based UI automation agent (Germany)
Commercial / closed-source,Autify,Autify,https://autify.com,No-code AI testing (Nova/Zenes) (Japan)
Commercial / closed-source,AWS Transform,Amazon/AWS,https://aws.amazon.com/transform/,"Agentic modernization of .NET, mainframe, and VMware workloads"
Commercial / closed-source,Baidu Comate,Baidu,https://comate.baidu.com,Baidu's AI coding assistant (Wenxin Kuaima) with Zulu agent
Commercial / closed-source,Baz,Baz,https://baz.co,AI-native code review platform (Israel)
Commercial / closed-source,Bismuth,Bismuth,https://www.bismuth.sh,Coding agent focused on finding and fixing bugs autonomously
Commercial / closed-source,Bits AI,Datadog,https://www.datadoghq.com,Datadog's AI agents for incident investigation and dev fixes
Commercial / closed-source,BlinqIO,BlinqIO,https://blinq.io,AI test engineer (multi-agent) for web apps (Israel)
Commercial / closed-source,Blitzy,Blitzy,https://blitzy.com,Batch autonomous engineering platform for enterprise-scale codebases
Commercial / closed-source,Bug0,Bug0,https://bug0.com,Autonomous QA agents + human oversight
Commercial / closed-source,Builder.ai,Builder.ai,https://www.builder.ai,AI-powered app assembly platform; collapsed into insolvency 2025
Commercial / closed-source,Builder.io Fusion,Builder.io,https://www.builder.io,Visual Copilot/Fusion: design-to-code and AI visual editing agents
Commercial / closed-source,Carbonate,Carbonate,https://carbonate.dev,Plain-English AI browser test generation (UK)
Commercial / closed-source,Cased,Cased,https://cased.com,AI DevOps/deployment automation agents
Commercial / closed-source,Charlie Labs,Charlie Labs,https://charlielabs.ai,Charlie: GitHub-native AI engineer for issues-to-PRs
Commercial / closed-source,Checksum,Checksum,https://checksum.ai,AI-generated E2E tests from production sessions
Commercial / closed-source,Chiplab,Chiplab,https://www.producthunt.com/categories/ai-coding-agents,Virtual firmware testing/debugging without physical hardware
Commercial / closed-source,Clark,Superblocks,https://www.superblocks.com,Enterprise AI internal-app builder agent; $23M raise
Commercial / closed-source,Cleric,Cleric,https://cleric.ai,Self-learning AI SRE agent; Gartner Cool Vendor 2025
Commercial / closed-source,Codacy,Codacy,https://www.codacy.com,Code quality platform with AI review/fixes
Commercial / closed-source,Code Metal,Code Metal,https://www.codemetal.ai,Verifiable AI code translation for edge/defense/automotive; $125M Series B
Commercial / closed-source,CodeAnt AI,CodeAnt (YC W24),https://www.codeant.ai,Code review + security analysis; $2M seed 2025 (India)
Commercial / closed-source,CodeGeeX,Zhipu AI (Z.ai),https://codegeex.cn,Zhipu's multilingual coding assistant (open-source core)
Commercial / closed-source,Codemod,Codemod,https://codemod.com,Agentic large-scale code migration platform (open-source core)
Commercial / closed-source,CodeParrot,CodeParrot,https://codeparrot.ai,Figma-to-code VS Code extension (India)
Commercial / closed-source,Codia AI,Codia,https://codia.ai,Screenshot/Figma-to-code AI
Commercial / closed-source,Corgea,Corgea,https://corgea.com,AI SAST with automatic vulnerability fixes
Commercial / closed-source,Creatr,Creatr,https://getcreatr.com,Prompt-to-web-app/landing page builder
Commercial / closed-source,CrewTower,CrewTower,https://www.producthunt.com/categories/ai-coding-agents,Control and approval layer for coding-agent workflows
Commercial / closed-source,cubic,cubic (YC X25),https://cubic.dev,AI code review that cuts review bottlenecks
Commercial / closed-source,Databricks Assistant,Databricks,https://www.databricks.com,"AI assistant that writes and fixes notebooks, SQL, and pipelines"
Commercial / closed-source,dbt Copilot,dbt Labs,https://www.getdbt.com,"AI engineer in dbt for models, tests, docs"
Commercial / closed-source,Deductive AI,Deductive,https://www.deductive.ai,Code-aware reasoning engine for production issue RCA
Commercial / closed-source,DeepSource,DeepSource,https://deepsource.com,Static analysis with AI Autofix agents
Commercial / closed-source,DeepWiki,Cognition,https://deepwiki.com,Auto-generated interactive wikis for any repo (Devin infrastructure)
Commercial / closed-source,Devlo,Devlo,https://devlo.ai,GitHub-native AI developer agent for issues and PRs
Commercial / closed-source,Diamond,Graphite,https://graphite.dev,Graphite's AI code review agent; $52M Series B
Commercial / closed-source,DocuWriter,DocuWriter.ai,https://www.docuwriter.ai,AI code and API doc generation
