name	maker	license	url	source_code_url	what_makes_it_special	platforms	first_released	current_release
Lovable	Lovable AB	Proprietary	https://lovable.dev/		Full-stack AI app builder that generates React/TypeScript web applications from natural language prompts, with built-in Supabase integration and GitHub deployment	Web	2023-07	2026-08
Replit Agent	Replit, Inc.	Proprietary	https://replit.com/		AI agent within Replit's cloud IDE that builds, runs, and deploys applications from natural language, with full cloud workspace	Web	2024-09	2026-08
Moatless Tools	Moatless AI	Apache-2.0	https://github.com/aorwall/moatless-tools	https://github.com/aorwall/moatless-tools	AI software engineering agent framework for evaluating and benchmarking code repair tasks on SWE-bench, with tree search and code search agent	CLI	2024-07	2026-08
Tabby	TabbyML	Apache-2.0	https://github.com/TabbyML/tabby	https://github.com/TabbyML/tabby	Self-hosted AI coding assistant with code completion and chat, supporting multiple LLMs and IDE integration	IDE;CLI;Self-hosted	2023-03	2026-08
AutoGPT	Torantek	Apache-2.0	https://github.com/Significant-Gravitas/AutoGPT	https://github.com/Significant-Gravitas/AutoGPT	Autonomous AI agent framework that chains LLM calls to autonomously accomplish complex tasks including code generation and software development	CLI;Web	2023-03	2026-08
BabyAGI	Yohei Nakajima	MIT	https://github.com/yoheinakajima/babyagi	https://github.com/yoheinakajima/babyagi	Task-driven autonomous agent that creates, prioritizes, and executes tasks including coding tasks using LLMs	CLI;Web	2023-04	2024-01
Dust	dust.tt	Proprietary	https://dust.tt/		Enterprise AI assistant platform that builds custom agents connected to company knowledge and tools	Web	2023-01	2026-08
Flowise	FlowiseAI	MIT	https://github.com/FlowiseAI/Flowise	https://github.com/FlowiseAI/Flowise	Open-source low-code tool to build customized LLM apps and agent workflows with a drag-and-drop interface	Web	2023-04	2026-08
n8n	n8n GmbH	Proprietary;Source-available	https://n8n.io/	https://github.com/n8n-io/n8n	Workflow automation platform with AI agent capabilities for building autonomous workflows and integrating AI into business processes	Web;Self-hosted	2019-06	2026-08
Semantic Kernel	Microsoft	MIT	https://github.com/microsoft/semantic-kernel	https://github.com/microsoft/semantic-kernel	Open-source SDK for building AI agents and integrating AI models into applications, supporting multiple languages and AI providers	CLI;Library	2023-02	2026-08
PromptFlow	Microsoft	MIT	https://github.com/microsoft/promptflow	https://github.com/microsoft/promptflow	Development tool for building, testing, and evaluating LLM applications and agentic workflows	CLI;IDE	2023-06	2026-08
CodeGeeX	Zhipu AI	Apache-2.0	https://github.com/THUDM/CodeGeeX	https://github.com/THUDM/CodeGeeX	Multilingual code generation model and coding assistant with IDE integration for code completion, translation, and explanation	IDE;CLI	2022-09	2026-08
Kite	Kite	Proprietary	https://kite.com/		AI-powered code completion tool for Python and JavaScript, one of the earliest AI coding assistants (discontinued)	IDE	2014-05	2022-05
Helix	Helix Editor	MIT	https://github.com/helix-editor/helix	https://github.com/helix-editor/helix	Modal text editor with built-in AI assistant support, LSP, and tree-sitter for code editing	CLI	2021-06	2026-08
Moatless Tools	Aorwall	Apache-2.0	https://github.com/aorwall/moatless-tools	https://github.com/aorwall/moatless-tools	AI software engineering agent framework for evaluating and benchmarking code repair tasks on SWE-bench	CLI	2024-07	2026-08
