name	maker	license	url	source_code_url	what_makes_it_special	platforms	first_released	current_release
a0.dev	a0.dev	Proprietary	https://a0.dev		AI coding agent for building web apps from natural language	Web	2025	2026
Micro Agent	Independent	Open-source	https://github.com/micro-agent/micro-agent	https://github.com/micro-agent/micro-agent	Lightweight AI coding agent for terminal	CLI	2025	2026
bolt.diy	StackBlitz	MIT	https://github.com/stackblitz-labs/bolt.diy	https://github.com/stackblitz-labs/bolt.diy	Open-source DIY version of Bolt.new for local AI app building	Web	2024	2026
Potpie AI	Potpie	Proprietary	https://potpie.ai		AI coding assistant for building and deploying apps	Web	2025	2026
Devra	Devra	Proprietary	https://devra.ai		AI coding agent for software development	Web	2025	2026
Appacella	Appacella	Proprietary	https://appacella.com		AI app builder for creating applications from natural language	Web	2025	2026
Codev	Codev	Proprietary	https://codev.ai		AI code generation and development tool	Web	2025	2026
DeepSite	DeepSite	Proprietary	https://deepsite.dev		AI-powered website and app builder	Web	2025	2026
Zugabot	Zugabot	Proprietary	https://zugabot.com		AI coding agent API	Web;API	2025	2026
Gemini Code Assist	Google	Proprietary	https://codeassist.google		Google AI coding assistant for VS Code and JetBrains IDEs	IDE	2024	2026
JetBrains AI	JetBrains	Proprietary	https://www.jetbrains.com/ai		AI assistant built into JetBrains IDEs with code completion generation and refactoring	IDE	2024	2026
Rocket	Rocket	Proprietary	https://www.rocketai.app		AI app builder for creating web applications from natural language	Web	2025	2026
Emergent	Emergent	Proprietary	https://www.emergent.sh		AI-powered web app builder and vibe coding platform	Web	2025	2026
Tempo	Tempo Labs	Proprietary	https://www.tempolabs.ai		AI-powered web development platform for building apps from prompts	Web	2025	2026
Softgen	Softgen	Proprietary	https://www.softgen.ai		AI web app builder that generates full-stack applications	Web	2025	2026
Databutton	Databutton	Proprietary	https://www.databutton.com		AI app builder for creating data apps and dashboards	Web	2024	2026
Marblism	Marblism	Proprietary	https://www.marblism.com		AI full-stack app generator that creates SaaS applications	Web	2025	2026
Figma Make	Figma	Proprietary	https://www.figma.com/make		Figma AI design-to-code tool that turns designs into working applications	Web;IDE	2025	2026
Base 44	Base44	Proprietary	https://base44.com		AI-powered app builder for creating web applications	Web	2025	2026
Firebase Studio	Google	Proprietary	https://firebase.google.com/products/studio		Google AI-powered app development environment with agent capabilities	Web	2025	2026
Magic	Magic AI	Proprietary	https://magic.dev		AI coding assistant with long context window for large codebases	IDE;CLI	2024	2026
Poolside AI	Poolside AI	Proprietary	https://poolside.ai		AI coding model and agent platform for software engineering	CLI;API	2024	2026
Bito	Bito	Proprietary	https://bito.ai		AI coding assistant for code generation review and debugging	IDE	2022	2026
Sourcery	Sourcery	Proprietary	https://sourcery.ai		AI-powered code refactoring tool that automatically improves code quality	IDE	2020	2026
Conductor	Conductor	Proprietary	https://conductor.build		AI agent orchestration platform for managing coding agents	CLI;Web	2025	2026
