storia-ai	AI expert for codebases	AI expert for codebases with chat-oriented programming and codebase search.
no-fate-ai	No Fate AI	AI assistant for software engineering tasks
samaritanai	SamaritanAI	AI tool visualizing codebases as network graphs
microbyte	MicroByte	AI-powered code assistant suggesting code insertions
mcanswers	McAnswers	AI-powered coding assistant with debugging, code generation
zevo-ai	Zevo.ai	dev tool for understanding codebases through code maps
onboard	Onboard	AI tool to understand and navigate codebases
pointdrift	PointDrift	AI coding assistant for mindmap-to-code conversion
lobby-code	Lobby Code	AI programming assistant for rapid code generation
gitterbot-io	GitterBot.io	AI conversational documentation for SaaS
mutable-ai	mutable.ai	AI-powered platform for accelerated software development
crystl	crystl	multitasking macOS terminal built for AI coding agents
relace	Relace	AI models and infrastructure for autonomous code generation
exponent	Exponent	AI agent for collaborative software engineering
superlog	Superlog	Open-source autonomous observability tool
codepal	CodePal	AI-powered coding tools for code generation, review
refraction	Refraction	AI-powered code generation tool
promind-ai	ProMind AI	Personalized AI agents for content creation, coding
ade	ADE	Open-source workspace for running and managing AI coding agents
programming-helper	Programming Helper	AI-powered tool for code generation
earlyai	EarlyAI	AI agent that generates high-quality unit tests
vibekit	VibeKit	Open-source SDK to run coding agents in secure sandboxes
what-the-diff	What The Diff	AI-powered code review assistant
line0	Line0	AI pair programmer for backend development
crew44	Crew44	Local-first multi-agent workspace
kodhau-mcp	KodHau MCP	Injects team tribal knowledge into AI coding agents
plusb	PlusB	Unified AI workspace with 7 expert agents
git-pitcher	Git Pitcher	Reverse engineers GitHub repos into build plans
punk	PUNK	Mobile remote control for local Claude Code AI agents
tonkotsu	Tonkotsu	GUI to manage autonomous AI coding agents
nora	Nora	Deep reasoning AI coding agent for Web3 development
snapmark	Snapmark	Visual UI development tool for AI code generation
vibescan	VibeScan	Scan, find, and fix issues in AI-generated code
better-ai-code	Better AI Code	Coding tool to generate and improve AI coding prompts
devgen	Devgen	Codebase research assistant
firstmate	FirstMate	Automates code reviews, debugs pipelines
scriptio-ai	Scriptio AI	AI-powered coding solutions for code generation
folderer	Folderer	AI-powered code generation integrated with GitHub
jacob	JACoB	Open-source AI coding agent
jetcode	JetCode	AI platform transforming requirements into coding guides
codedefender-a	CodeDefender α	AI sidekick for developers
astronuts	Astronuts	AI-powered software engineering co-pilot
codewhizz	CodeWhizz	AI-powered Python code generator, debugger, and tutor
mimrr	Mimrr	AI code documentation solution
jit-codes	JIT.codes	AI coding assistant for code generation
autogpt-on-mobile	AutoGPT on Mobile	AutoGPT on mobile
cosine-ai	Cosine AI	AI developer platform automating software development
kane-ai	Kane AI	GenAI-native testing agent
t3-code	T3 Code	Open-source workspace for managing multiple coding agents
coworker-ai	Coworker AI	Enterprise AI agent platform
pineify	Pineify	AI Pine Script generator and coding agent for TradingView
roxybrowser	RoxyBrowser	First MCP-Native Anti-Detect Browser for AI Agents
paird-ai	Paird.ai	AI-powered platform for rapid code generation
pas-code	PAS Code	Online code editor with AI tools
codecopilot-ai	CodeCopilot AI	Free, private, in-browser AI code generator
clacky	Clacky	Agentic coding studio
squire-ai	Squire AI	AI code review tool
flowlens	FlowLens	Automated bug reporting for AI coding agents
matter-ai	Matter AI	Open-source AI Code Reviewer Agent
codey	Codey	Local-first AI Development Operating System
mantlecore-ai	Mantlecore AI	Managed cloud for open-source AI agents
myclawn	MyClawn	AI agents talking to other AI agents
forums-by-basehub	Forums by BaseHub	AI agents explore GitHub source code
copilothub	CopilotHub	Curated directory of AI prompts, agents, tools
cli-manager	CLI Manager	Unified dashboard for managing AI CLI agents
devle	Devle	AI platform to build apps and websites via chat
code2-ai	Code2.AI	Transforms codebases into AI-ready knowledge
archittect	Archittect	Code generation tool for dynamic code templates
scape	Scape	macOS workspace for orchestrating parallel AI coding agents
ovren	Ovren	AI engineering platform with autonomous developers
digestdiff	DigestDiff	AI to analyze commit history
trycase	TryCase	Disposable Linux environments for AI agents
viktor	Viktor	Autonomous AI coworker for Slack
diffduo	DiffDuo	GPT-powered pull request summaries
genval-ai	Genval AI	AI-powered platform for code generation, refactoring
crewargo	CrewArgo	Desktop AI workspace with specialized agents
ernie-comate	ERNIE Comate	AI coding assistant by Baidu
code-arena	Code Arena	Platform to compare AI coding models
google-antigravity	Google Antigravity	AI-powered agentic development platform and IDE
blackbox-ai-1	BLACKBOX.AI	AI agent with code completion and app building
cto-new	cto.new	Free AI code agent using frontier models
morph	Morph	Applies LLM code edits to files
palmier	Palmier	Autonomous AI software engineering assistant
workik-ai	Workik AI	AI-powered development platform
pseudoeditor	PseudoEditor	Online pseudocode editor with AI
macroscope	Macroscope	AI agent for codebase analysis, bug detection, PR review
ara-ai	Ara AI	Self-driving AI IDE
pearai	PearAI	Open-source AI code editor
digma-ai	Digma AI	Continuous feedback for developers
replicas	Replicas	Background coding agents in sandboxed dev environments
contral	Contral	AI-powered IDE that teaches programming
agent-fm	Agent FM	Local open-source Mac app for live audio narration for AI coding agents
dynobase	Dynobase	GUI client for DynamoDB with code generation
adrenaline	Adrenaline	Answers questions about your code by analyzing codebase
straion	Straion	Centralized rule management for AI coding agents
giteai	GiteAI	Automates commit message generation
aicommit	AICommit	JetBrains plugin for AI-driven code assistance
code-fundi	Code Fundi	AI coding assistant
athena-by-luckeysystems	Athena by LuckeySystems	Local-first desktop control surface for AI coding agents
vibeworkspace	VibeWorkspace	Local AI coding workspace for parallel agents
pincue	Pincue	Review session tool for AI coding agents
sonarly	Sonarly	AI agent that triages alerts and fixes production bugs
devstral2	devstral2	Open-source coding models and CLI agent
kat-dev	kat dev	AI-driven code intelligence models
codenext-ai	CodeNext.ai	AI-powered Xcode assistant
