Untrivial-ai/agent-orchestrator	9646	Agent IDE that enables you to manage fleets of coding agents. It comes with an agentic orchestrator that plans tasks, spawns agents, and autonomously handles CI fixes, merge conflicts, and code reviews.
mikeyobrien/ralph-orchestrator	3103	An improved implementation of the Ralph Wiggum technique for autonomous AI agent orchestration
andyrewlee/awesome-agent-orchestrators	1441	List of agent orchestrators
awslabs/cli-agent-orchestrator	1080	Multi-agent orchestration for AI coding CLIs — Claude Code, Kiro, Codex, and more, coordinated in isolated tmux sessions
Enderfga/claw-orchestrator	548	Run Claude Code, Codex, Antigravity, Cursor Agent and OpenCode as one runtime — persistent sessions, multi-agent councils, an OpenAI-compatible endpoint, an MCP server, and an ACP agent any editor can drive.
josstei/maestro-orchestrate	454	Multi-agent orchestration platform for Gemini CLI, Claude Code, Codex, and Qwen Code — 39 specialists, parallel subagents, persistent sessions, and built-in code review, debugging, security, SEO, accessibility, and compliance tools
Ibrahim-3d/orchestrator-supaconductor	373	Multi-agent orchestration system for Claude Code with parallel execution, automated quality gates, Board of Directors, and bundled Superpowers skills
kingbootoshi/codex-orchestrator	346	Delegate tasks to OpenAI Codex agents via tmux sessions. Designed for Claude Code orchestration.
Kronova-Intelligent-Systems/asset-intel-orchestration-engine	249	Open-source platform for multi-agent AI orchestration, real-world asset tokenization, and institutional-grade workflow automation. Includes OAuth 2.1 MCP agent management, a 44-field RWA schema, Stripe subscription billing, and a Cryptographic Airgap architecture designed to integrate with AetherNet QUAS post-quantum settlement. 
maslennikov-ig/claude-code-orchestrator-kit	244	🎼 Turn Claude Code into a production powerhouse. 33+ AI agents automate bug fixing, security scanning,   and dependency management. 19 slash commands, 6 MCP configs (600-5000 tokens), quality gates, and health monitoring. Ship faster, ship safer, ship smarter.
agnusdei1207/opencode-orchestrator	225	Opencode Plugin for AI-Agent Orchestration
mbruhler/claude-orchestration	218	Multi-agent workflow orchestration plugin for Claude Code
Azure-Samples/healthcare-agent-orchestrator	205	Facilitates creating modular specialized agents that coordinate across diverse data types and tools like M365 and Teams to assist multi-disciplinary healthcare workflows—such as cancer care.
jpicklyk/task-orchestrator	200	Server-enforced workflow discipline for AI agents. An MCP server providing persistent work items, dependency graphs, quality gates, and actor attribution. Schemas define what agents must produce — the server blocks the call if they don't. Works with any MCP-compatible client.
IBM/ibm-watsonx-orchestrate-adk	174	The command line client for watsonx Orchestrate's agent builder experience.
systempromptio/systemprompt-code-orchestrator	142	[DEPRECATED] Superseded by systempromptio/systemprompt-template and systempromptio/systemprompt-core. MCP server for orchestrating AI coding agents (Claude Code CLI & Gemini CLI).
this-rs/project-orchestrator	126	A Rust-based AI agent orchestrator with Neo4j knowledge graph, Meilisearch semantic search, and Tree-sitter code parsing.
shintaro-sprech/agent-orchestrator-template	124	A self-evolving subagent system for Claude Code
aws-samples/sample-multi-agent-orchestration-chat-on-agentcore	123	Build & Share AI agents with your team. Full AgentCore, Full Serverless, Full TypeScript Sample
Sakshxm1/hermes-agency-orchestrator	121	Claude Code Agent Workflows Guide 2026: Skills vs Teams vs Cost Analysis
ninouanis84-sudo/foxl-orchestrator	116	Personal AI Agent Hub 2026 — Build Your 24/7 Autonomous Assistant
nam271212/strategic-advisor-orchestrator	116	AI Coding Agent Orchestrator 2026: Pro-Level Strategy & Review Framework
backnotprop/orchestrator	107	Agents orchestrating other agents
ahacker-1/cre-acquisition-orchestrator	104	The first comprehensive open-source AI-native framework for CRE acquisitions, turning diligence, underwriting, financing, legal, and closing into executable agent workflows.
Azure/gpt-rag-orchestrator	100	The GPT-RAG Orchestrator service is an agentic orchestration layer built on Microsoft Foundry Agent Service and the Microsoft Agent framework. It enables agent-based RAG workflows by coordinating multiple specialized agents to collaboratively generate accurate, context-aware responses for complex user queries.
Mybono/ai-orchestrator	100	Portable multi-agent AI developer setup for Claude Code + Ollama. Role-based local LLM orchestration via Bash — plan, code, review, commit. Zero Dependency. Works with any language stack.
doordash-oss/agentic-orchestrator	97	
aj47/100x-orchestrator	97	An orchestration system for managing AI coding agents. The system uses Aider (an AI coding assistant) to handle coding tasks and provides real-time monitoring of agent outputs through a user-friendly interface.
josipjelic/orchestrated-project-template	94	A Claude Code project template with pre-configured specialist agents, living documentation, Conventional Commits conventions, and placeholder-based structure — copy, fill, ship.
jcarlosrodicio/opencode-agent-orchestration-kit	84	Starter kit for OpenCode agent orchestration with product-development workflows, Open Design integration, Superpowers, Docker, and docs.
barkain/claude-code-workflow-orchestration	84	Claude Code plugin for multi-step workflow orchestration — automatic task decomposition, parallel agent execution, and specialized agent delegation with native plan mode integration.
pnganga813-commits/Aether-desktop-orchestrator	80	⚡ Hermes Agent 2026: Next-Gen Multi-AI Desktop Automation Platform
hoangsonww/AI-Agents-Orchestrator	78	🪈 Intelligent orchestration system that coordinates multiple AI coding assistants (Claude, Codex, Gemini CLI, Copilot CLI) to collaborate on complex software development tasks via REPL or a Vue/Nuxt UI dashboard. Also includes an Agentic Team runtime with role-based multi-agent open communication & lead-gated final responses.
alexzh3/codex-orchestrator	76	Claude Code plugin that orchestrates GPT Codex agents for implementation, monitoring, and independent reviews.
Snowflake-Labs/orchestration-framework	74	A multi-agent framework with native support for Snowflake services
Agent-Analytics/awesome-multi-agent-orchestrators	71	Awesome-style curated list and directory for multi-agent orchestration.
aws-solutions-library-samples/guidance-for-multi-agent-orchestration-on-aws	71	Enables developers to build, deploy, and manage multiple specialized agents that work together to tackle complex workflows. Each agent focuses on a specific task, breaks down processes into manageable steps, assigns tasks to the appropriate agents, and ensures accurate, and reliable outcomes.
ZypherHQ/agent-orchestration-skill	68	
willynikes2/agent-orchestrator	65	Three AI agents. One brain. Zero downtime. Multi-agent CLI orchestrator with next-man-up failover for Claude, Codex, and Gemini.
ITSpecialist111/HASS-AI-Orchestrator	58	An autonomous multi-agent orchestration system for Home Assistant. Features local LLM control (Ollama/DeepSeek), & RAG-powered technical knowledge,
Rylaa/fable5-opus5-orchestrator	49	Keep Claude Fable 5 in the chair all day without draining your usage limit — token-frugal multi-agent orchestration plugin for Claude Code: tier routing (Sonnet 5 does the work), Requirements Ledger, enforced guard hooks, automatic teammate reaping
Kanevry/session-orchestrator	47	Loop engineering for AI coding agents — turn ad-hoc sessions into a repeatable research → plan → wave-execute → close loop with verification gates. Runs on Claude Code, Codex CLI, Cursor, and Pi. MIT community plugin.
thefalc/multi-agent-ai-sdr-flink-orchestrator	46	Demo application for an event-driven multi-agent system for handling lead processing using an orchestrator built in Flink
Omar-Obando/qwen-orchestrator	46	🚀 Multi-agent orchestration for Qwen Code CLI. 24 specialized AI agents and 82+ skills working as a professional dev department. Built for Alibaba's open-source AI coding assistant.
tarunms7/forge-orchestrator	42	Forge is a self-evolving multi-agent orchestrator -- that plans, runs parallel agents, orchestrates them, reviews the code, resolves merge-conflicts and gives one PR that you can safely merge to production.
lowtidebuild/legal-agent-orchestrator	41	
aws-solutions-library-samples/guidance-for-multi-agent-orchestration-using-bedrock-agentcore-on-aws	41	This Guidance demonstrates how to build and deploy multi-agent systems using Amazon Bedrock AgentCore and Strands Agents SDK. 
skills/agent-orchestration-build-your-ai-dream-team	41	This Skills Exercise is about Agent Orchestration through the CLI
Scarmonit/antigravity-jules-orchestration	41	Autonomous AI orchestration architecture combining Google Antigravity with Jules API for hands-free development workflows. MCP integration for seamless agent coordination.
darrenapfel/claudecode-orchestrator	38	DEPRECATED: NEW *REAL* SOLUTION COMING VERY, VERY SOON... Complete Multi-Agent Orchestration for Claude Code Enables 24 hour Autonomous Coding
