openinterpreter/openinterpreter	68078	A coding agent for open models like Kimi K3
hesreallyhim/awesome-claude-code	52655	A hand-picked collection of the finest of resources for the most awesome of agents, Claude Code, the undisputed champion of coding companions, from the unstoppable team at Anthropic PBC. A delectable showcase of top tier skills, ambidextrous agents, scintillating status lines, top notch developer tooling, and also we have plugins
Hmbown/CodeWhale	40829	Open-source, community-driven agent harness
bojieli/ai-agent-book	39546	《深入理解 AI Agent：设计原理与工程实践》（李博杰 著）开源主仓库：全书正文、编译版 PDF 与按章配套代码
esengine/DeepSeek-Reasonix	34874	DeepSeek-native AI coding agent for your terminal. Engineered around prefix-cache stability — leave it running.
QwenLM/qwen-code	27200	An open-source AI coding agent that lives in your terminal.
OthmanAdi/planning-with-files	26253	Persistent file-based planning for AI coding agents and long-running tasks. Crash-proof markdown plans, session recovery after /clear and compaction, per-turn re-injection against context rot, deterministic completion gate. Manus-style. Install from npm, the Claude Code plugin marketplace, or npx skills. Codex, Cursor, OpenCode, 60+ agents.
1jehuang/jcode	18016	The most RAM efficient harness
NanmiCoder/cc-haha	14165	Local-first cross-platform desktop workspace for Claude Code / agents: multi-agent, Git worktrees, code diffs, skill marketplace, multi-model, Computer Use, task-aware desktop pets, with WeChat, Feishu, DingTalk, Telegram, WhatsApp and H5 access.
YaoApp/yao	7723	✨ All your agents and workspaces in one place, on every device you own. Track tasks on a board, accessible from desktop, mobile, browser, or API. Self-hosted.
algorithmicsuperintelligence/openevolve	7233	Open-source implementation of AlphaEvolve
KunAgent/Kun	6140	Local-first AI agent workspace for coding, writing, design, research, and automation — one runtime for desktop GUI and TUI.
rllm-org/rllm	5792	Democratizing Reinforcement Learning for LLMs
google/agents-cli	5687	The CLI and skills that turn any coding assistant into an expert at creating, evaluating, and deploying AI agents on Google Cloud.
Q00/ouroboros	5580	Agent OS: the agent gets smarter on its own. We just hold the line: the grading command and expected result never make it into the success contract we hand it. Interview-gated, staged evaluation, budgeted evolution loop. MCP server, 13 runtimes: Claude Code, Codex CLI, Gemini CLI, OpenCode, Copilot, Kiro and more.
cloudflare/vibesdk	5323	An open-source vibe coding platform that helps you build your own vibe-coding platform, built entirely on Cloudflare stack 
nexu-io/html-video	4387	Programmatic video for coding agents — HTML to video on your laptop. Turn HTML, CSS & data into real MP4s with pluggable render engines, 21 templates, AI soundtrack. Apache-2.0, no per-render fees. An official project by the Open Design team.
CommandCodeAI/command-code	3737	Command Code AI
Windy3f3f3f3f/how-claude-code-works	3480	Deep dive into Claude Code internals — architecture, agent loop, context engineering, and more. / 深入解析 Claude Code 源码：架构、Agent 循环、上下文工程、工具系统等
SeemSeam/claude_codex_bridge	3429	Visible multi-agent CLI workspace for mixing Codex, Claude, Gemini, Kimi, Qwen, Cursor, Copilot, Pi, OpenCode, and other AI coding agents
superagent-ai/grok-cli	3416	An open-source coding agent for the Grok API
tutti-os/tutti	3310	Where people and agents build in tune.
teaql/teaql-agent-kit	2801	A model-mediated harness for reliable agentic software development.
cocoindex-io/cocoindex-code	2663	A super light-weight embedded code search engine CLI (AST based) that just works -  improves speed and efficiency for coding agent  🌟 Star if you like it!
Windy3f3f3f3f/claude-code-from-scratch	2582	Build your own Claude Code from scratch.  🔍 Claude Code 开源了 50 万行代码，读不动？用 ~5000 行 TypeScript / Python 从零复现核心架构，11 章分步教程带你理解 coding agent 精髓
CoderLuii/HolyClaude	2505	AI coding workstation: Claude Code + web UI + 8 AI CLIs + headless browser + 50+ tools
itayinbarr/little-coder	2457	A harness optimized to smaller LLMs
softaworks/agent-toolkit	2358	A curated collection of skills for AI coding agents. Skills are packaged instructions and scripts that extend agent capabilities across development, documentation, planning, and professional workflows.
Sahir619/fable-method	2233	The Fable Workflow: how Claude Fable 5 worked, distilled into skills any model can run, with the eval that keeps it honest. Think / act / prove.
ccch1mneyyy/dsh-TUI	2080	DSH 官方公众号收录的 TUI 补位插件：Claude Code 风，鲸鱼顶栏/实时状态/流式思考/双击 Esc 回滚/上下文进度+TPS。npm 一键装。  DSH official WeChat featured TUI plugin — Claude Code style: whale bar, live status, streaming thoughts, double-Esc rollback, context bar + TPS. npm one-click.
itigges22/ATLAS	2077	Adaptive Test-time Learning and Autonomous Specialization
OpenCoworkAI/open-cowork	2049	Open-source AI agent desktop app for Windows & macOS. One-click install Claude Code, MCP tools, and Skills — with sandbox isolation, multi-model support, and Feishu/Slack integration.
777genius/agent-teams-ai	1951	You're the boss, agents are your team. They handle tasks on their own, message each other, and review each other's work. You just watch the kanban board and give high-level commands. Codex/Claude/OpenCode/Cursor/Grok/GitHub Copilot/Kiro/Z.AI/MiniMax/Kimi(200+ models, 75+ LLM providers, free models no auth). Build your AI company with multiple teams
he-yufeng/CoreCoder	1657	Minimal AI coding agent (~1,000 lines of Python) inspired by Claude Code. Works with any LLM. Think NanoGPT for coding agents. Formerly NanoCoder.
Gitlawb/zero	1590	The coding agent that answers to you, your model, your machine, your rules.
gi-dellav/zerostack	1583	Lightweight coding agent written in Rust, optimized for memory footprint and performance
nimbalyst/nimbalyst	1525	Nimbalyst - The open-source visual workspace for Claude Code, Codex, and OpenCode. Run multiple coding agents in parallel, edit their work visually in markdown, mockups, and diagrams, and track tasks. Free, MIT-licensed desktop app for macOS, Windows, Linux, with mobile companion for iOS and Android.
kenryu42/cc-safety-net	1494	An AI coding agent guardrail — a CLI hook that blocks destructive git and filesystem commands and secret file access before they execute. Supports Amp Code, Antigravity CLI, Claude Code, Codex, Copilot CLI, Cursor, Gemini CLI, Hermes Agent, Kimi Code, OpenClaw, OpenCode, and Pi.
ntegrals/10x	1360	⚡️ 10x - Up to 20x faster AI coding with multi-step Superpowers. Open-source agent with smart model routing, BYOK, fully self-hosted.
nicobailon/pi-mcp-adapter	1277	Token-efficient MCP adapter for Pi coding agent
tigicion/dao-code	1253	Open-source TypeScript terminal coding agent for DeepSeek-V4 — builds on DeepSeek's strong price-performance and ultra-cheap cache pricing, engineering byte-stable prefixes and cache-reusing forks so cross-session memory and a continuous self-correction layer add almost no token cost; 1M context, Skills/MCP/Hooks, Claude Code config compatible.
DataTalksClub/ai-dev-tools-zoomcamp	1229	A free, hands-on course on using AI developer tools to build, test, deploy, extend, and audit software without losing engineering discipline. The 2026 cohort starts August 31.
razzant/ouroboros	1194	Ouroboros — self-creating AI agent. Born Feb 16, 2026.
amElnagdy/delegate-skills	1186	Delegate a coding task to a separate coding agent CLI, review the diff, land the commit yourself — one per implementer.
FailproofAI/failproofai	1179	Runtime failure resolution for coding agents. Hooks into Claude Code, Codex & your favourite harnesses. Catches loops, dangerous actions, and secret leaks before they become incidents. Zero latency. Runs locally.
alookai/alook	1157	Rooms for people and agents.
ref-tools/ref-tools-mcp	1154	Helping coding agents never make mistakes working with public or private libraries without wasting the context window.
paean-ai/deeptide	1087	Built by DeepSeek, for DeepSeek — a Swift-native macOS coding agent
SaladDay/pi-from-scratch	1076	600 行 TypeScript 写成的超级迷你版 pi，让你轻松从 0 写出属于你的 pi-agent
LiuMengxuan04/MiniCode	1061	A lightweight terminal coding assistant with Claude Code-like workflow, tool loop, and TUI architecture, built for learning and experimentation. Multi-language support: TypeScript , Python and Rust implementations available now.
grinev/opencode-telegram-bot	1056	OpenCode mobile client via Telegram: run and monitor AI coding tasks from your phone while everything runs locally on your machine. Scheduled tasks support.
shyamsaktawat/OpenAlpha_Evolve	1045	OpenAlpha_Evolve is an open-source Python framework inspired by the groundbreaking research on autonomous coding agents like DeepMind's AlphaEvolve.
vstorm-co/pydantic-deepagents	1036	Open-source, self-hosted Claude Code - a terminal AI assistant and the Python framework behind it. Tool-calling, sandboxed execution, multi-agent teams, skills, checkpoints, unlimited context - on Pydantic AI, any model.
johannesjo/parallel-code	981	Run Claude Code, Codex, and Gemini side by side — each in      its own git worktree
Agent-Field/SWE-AF	978	Autonomous software engineering fleet of AI agents for production-grade PRs on AgentField: plan, code, test, and ship.
