obra/superpowers	274317	An agentic skills framework & software development methodology that works.
Leonxlnx/taste-skill	78242	Taste-Skill - gives your AI good taste. stops the AI from generating boring, generic slop 
Gitlawb/openclaude	30770	runs anywhere. uses anything
datawhalechina/easy-vibe	19006	💻  vibe coding 101｜The first course for AI-native product builders.
danielmiessler/LifeOS	18619	⛰️ The Life Operating System — an intent engineering platform that moves you from your current state to your ideal state, in life and work.
InsForge/InsForge	12752	The all-in-one, open-source backend platform for agentic coding. InsForge gives your coding agent database, auth, storage, compute, hosting, and AI gateway to ship full-stack apps end-to-end.
aidenybai/react-grab	7546	Copy any UI element for your agent
chaitin/MonkeyCode	4481	AI coding platform for teams
zgsm-ai/costrict	4380	Costrict - strict AI coder for enterprises, quality first, including AI Agent, AI CodeReview, AI Completion. 
samber/cc-skills-golang	3001	🧑‍🎨 A collection of Golang agentic skills that works
benthecoder/yt-channels-DS-AI-ML-CS	1619	A comprehensive list of 180+ YouTube Channels for Data Science,  Data Engineering, Machine Learning, Deep learning, Computer Science, programming, software engineering, etc.
hotovo/aider-desk	1395	Platform for AI-powered software engineers
chiphuyen/sniffly	1260	Claude Code dashboard with usage stats, error analysis, and sharable feature
zhnt/loushang	1186	AI-native agent harness for coding workflows by python: multi-model LLM orchestration, stateful sessions, tool governance,   traceable delivery, and provider routing for GPT, Claude, DeepSeek, Qwen, Kimi, GLM, and MiniMax.
hibuz/dev-conf-replay	1159	🍀 최근 국내 IT 세미나 및 개발자💻  컨퍼런스 영상의 다시 보기👀 링크를 한곳에 정리했습니다!
luongnv89/asm	878	The universal skill manager for AI coding agents.
agentforce314/clawcodex	864	Token efficient Claude Code full Python rebuild. AI Coding Agent in 310K LoC Python. Up to 200X Cost Saving!
wsxiaoys/awesome-ai-coding	766	Awesome AI Coding
coder/boo	763	A GNU screen style terminal multiplexer built on libghostty.
math-ai-org/mathcode	706	MathCode: A Frontier Mathematical Coding Agent
MagicCube/helixent	649	Helixent is a small library for building ReAct-style AI agent loops based on the Bun stack.
enulus/OpenPackage	607	The open, universal, coding agent skills, agents, rules, and commands organizer and package manager.
bhouston/mycoder	566	Simple to install, powerful command-line based AI agent system for coding.
griddynamics/rosetta	335	An instruction layer for AI coding agent
Swival/swival	324	A small, powerful, open-source CLI coding agent that works with open models.
onepointAI/onepoint	314	An AI assistant tool that integrates coding, writing, and reading functions. For better alternatives see https://monica.im/desktop
cosai-oasis/project-codeguard	313	Project CodeGuard is an open-source, model-agnostic security framework that embeds secure-by-default practices into AI coding agent workflows. It provides comprehensive security rules that guide AI assistants to generate more secure code automatically.
realasfngl/Grok-Api	310	A free Grok API wrapper that allows you to use Grok without API access or Account.
momozi1996/momo-code	309	MOMO CODE — AI coding agent that evolves with you
Unclecheng-li/DeepSec	298	DeepSec — AI Security Offense & Defense Platform. Shield audits AI-generated code for hallucinated packages, missing safeguards & AI pattern errors in real time. Spear automates authorized penetration testing with 40+ skill packs, from recon to PoC. 
themanyone/whisper_dictation	293	Private voice keyboard, agent, AI chat, images, webcam, recordings, voice control with >= 4 GiB of VRAM.
xiaotonng/pikiloom	292	Put the world's smartest AI agents & plugins in your pocket
terragon-labs/terragon-oss	257	This is the website formally known as Terragon Labs. It was a remote background agent orchestrator for running Claude Code, Codex, and other coding clis in the cloud.
e2b-dev/awesome-devins	256	Awesome Devin-inspired AI agents
umacloud/umadev	250	UmaDev: A coding agent that works like a real dev team, commanding the Claude Code / Codex / OpenCode you already use.
eas4ai/engineered-meta-cognitive-workflow-architecture	241	Meta-Cognitive Workflow Architecture
pablopunk/pi.nvim	240	The most minimal AI coding agent, now in neovim
HaliteChallenge/Halite-II	221	Season 2 of @twosigma's artificial intelligence programming challenge
mmiscool/aiCoder	201	A tool to write JS libraries using AI. The first and only tool that is using ASTs to perform surgical changes to existing code files with out mangling the code.  https://aicoderproject.com/
leek-wars/leek-wars	199	Leek Wars, the multiplayer web browser AI programming game in which you train leeks
samber/cc-skills	188	🧑‍🎨 A collection of agentic skills that works
lencx/skills	171	💡 Turn experience into repeatable execution.
sammcj/mcp-devtools	158	A modular MCP server that provides commonly used developer tools for AI coding agents
sudokar/openspec-plus	151	OpenSpec Plus — Agentic skills that enhance OpenSpec's Spec-Driven Development through better discovery, requirements, design decisions, execution planning and execution. Works with Claude Code, OpenCode, Github Copilot and any other AI coding agents
PACHAKUTlQ/ClaudeCage	142	Claude Code running in sandbox. Packed as single portable executable with no dependency. Has better performance than official version.
civai-technologies/cursor-agent	133	Cursor Agent Tools - A Python-based AI agent that replicates Cursor's coding assistant capabilities, enabling function calling, code generation, and intelligent coding assistance with Claude, OpenAI, and locally hosted Ollama models.
IliaLarchenko/Interviewer	121	AI Mock Interviewer
0xWelt/Awesome-Vibe-Coding	105	A Curated List of Vibe Coding Open-Source Projects, Tools, and Learning Resources
UditAkhourii/brane-code	96	Claude Code but Better
SylphAI-Inc/adal-cli	96	The self-evolving coding agent that learns from your entire team and codebase. Less syncing. Less waiting. Deliver at the speed of thought.
knowsuchagency/fulcrum	90	What if Openclaw, Vibe Kanban, Vibetunnel, and Dokploy had a baby?
re4/LibreCode	83	LibreCode - A Ollama cursor like coding / Reversing Interface
sandst1/remind	82	A memory layer for AI Agents
adifyr/shadow-code	81	A novel approach to coding with AI
vlinx-io/VelaTerm	80	The best terminal for AI Coding
wendy7756/vibe-coding-guide	72	Beginner’s Vibe Coding Guide. AI氛围编程指南 Natural Language Programming 自然语言编程
samber/cc-caffeine	70	☕️ Prevents your computer from sleeping while Claude Code works hard
afondiel/cs-books	68	A curated collection of computer science books.
InbarR/tmax	66	Cross-platform multi-terminal app with tiling layouts, floating panels, and a keyboard-driven workflow
marcusschiesser/edge-pi	62	A lightweight, Vercel AI SDK based coding agent library.
vibheksoni/VerbalCodeAi	59	VerbalCodeAI is a free, open-source AI tool that simplifies codebase navigation in your terminal, using Python 3.11.6 and Ollama. It indexes projects locally and quickly answers questions like “Where’s this function?”, saving developers time on debugging and onboarding.
deneyapkart/deneyapkart-arduino-core	52	Arduino Core for Deneyap DevKits
swadhinbiswas/Mervelas	52	An independent, high-performance AI coding CLI built with Bun and driven by free resources
ekondur/AI-Studio	51	AI Studio helps you with the power of AI in many subjects such as adding unit tests, refactoring code, adding summary, etc. while writing code, just by right click on the code.
roberto-mello/lavra	50	A plugin with compound engineering workflows and memory for AI coding agents
wonderwhy-er/ChatGPTServerCommander	48	This project is a server that exposes terminal commands and file editing functionality as an API for ChatGPT Actions. In essence, it allows you to control any machine where you install this with ChatGPT. Install, run, and edit anything, even itself.
hunmer/agent-spaces	45	多agents协作平台
lucianodiisouza/semaphore	42	Floating traffic light for AI coding agents (know when your agent is idle, thinking, or writing)
mirzayasirabdullahbaig07/Bank-App	42	This project simulates basic banking operations like creating accounts, depositing, withdrawing, and checking balances — all through a simple and user-friendly web interface.
mirzayasirabdullahbaig07/Personal-AI-Chatbot	42	A fully interactive AI-powered chatbot built with **HTML, CSS, and JavaScript**, integrated with **Google Gemini API** for real-time responses. This project mimics a conversational AI assistant with support for file uploads, theme switching, chat history management, and typing effects
dreamide/dream	41	Frontier IDE built for AI coding.
