PawanOsman/OpenCursor	5999	Open-source Cursor-like AI coding agent for VS Code — agentic chat, multi-provider LLMs (OpenAI, Ollama, llama.cpp), semantic search, and MCP support
samber/cc-skills-golang	3001	🧑‍🎨 A collection of Golang agentic skills that works
agentforce314/clawcodex	864	Token efficient Claude Code full Python rebuild. AI Coding Agent in 310K LoC Python. Up to 200X Cost Saving!
Swival/swival	324	A small, powerful, open-source CLI coding agent that works with open models.
rohitg00/tailclaude	255	Claude Code on your Tailscale tailnet, powered by the iii engine.
samber/cc-skills	188	🧑‍🎨 A collection of agentic skills that works
echoVic/blade-code	175	AI-powered CLI coding agent with 20+ built-in tools, MCP support, and multi-model providers
dog-qiuqiu/invincat	153	A native Python agent CLI built on DeepAgents CLI, featuring an independent memory Agent that captures learnings after each task and delivers efficient AI coding assistance through hierarchical memory management.
Zentar-Ai/Zentara-Code	84	AI debugger and AI coder integrated.  Use AI to code and drives runtime debugger
LangLang03/LineCodePro	84	An AI coding workstation that fits in your pocket.
JiayuXu0/MiniCode	71	30天实现一个claude code
markshust/hcf	57	Autonomous development plugin for Claude Code. Define requirements with a PM, then let parallel workers implement everything using TDD.
NJX-njx/opensoul	56	Your AI Soul Companion. Self-hosted AI agent across 30+ messaging channels It can not only serve as an emotional companion in daily life (such as a lover or friend), but also help you complete various complex tasks like coding、training models through channels 
vcaesar/codg	34	The next easy code and work AI agents harness system: auto, asynchronous, concurrency, efficiently and High accuracy
mac999/BIM_LLM_code_agent	32	BIM LLM Code Agent with Vector and Graph RAG
matebenyovszky/healing-agent	26	AI powered automatic software healing agent
mac999/AI_foundation_tutorial	24	AI foundation and trend seminar tutorial with code
strelov1/diffray	23	AI-powered code review CLI for git changes
