farion1231/cc-switch	128313	A cross-platform desktop All-in-One assistant for Claude Code, Codex, OpenCode, OpenClaw, Grok Build & Hermes Agent. Only official website: ccswitch.io
cline/cline	66501	Autonomous coding agent as an SDK, IDE extension, or CLI assistant.
Fission-AI/OpenSpec	65558	Spec-driven development (SDD) for AI coding assistants.
calesthio/OpenMontage	48988	World's first open-source, agentic video production system. 12 production pipelines, 100+ tools, 700+ agent skill and production-knowledge files. Turn your AI coding assistant into a full video production studio.
TabbyML/tabby	33830	Self-hosted AI coding assistant
iOfficeAI/AionUi	32123	Open-source 24/7 Cowork app for OpenClaw, Hermes, Claude Code, Codex, OpenCode and 20+ more CLI Agent | Customize your assistants | Team them up｜Star if you like it!
chenhg5/cc-connect	15052	Bridge local AI coding agents (Claude Code, Cursor, Gemini CLI, Codex) to messaging platforms (Feishu/Lark, DingTalk, Slack, Telegram, Discord, LINE, WeChat Work). Chat with your AI dev assistant from anywhere — no public IP required for most platforms.
coleam00/context-engineering-intro	13787	Context engineering is the new vibe coding - it's the way to actually make AI coding assistants work. Claude Code is the best for this so that's what this repo is centered around, but you can apply this strategy with any AI coding assistant!
sweepai/sweep	7700	Sweep: AI coding assistant for JetBrains
github/CopilotForXcode	6275	AI coding assistant for Xcode
google/agents-cli	5687	The CLI and skills that turn any coding assistant into an expert at creating, evaluating, and deploying AI agents on Google Cloud.
the-open-agent/openagent	5537	⚡️next-generation personal AI assistant powered by LLM, RAG and agent loops, supporting computer-use, browser-use and coding agent, demo: https://demo.openagentai.org
Galaxy-Dawn/claude-scholar	5124	Semi-automated research assistant for academic research and software development. Supports Claude Code, Codex CLI, Kimi Code CLI, and OpenCode across ideation, coding, experiments, writing, and publication.
SaladDay/cc-switch-cli	4764	⭐️ A cross-platform CLI All-in-One assistant tool for Claude Code, Codex & Gemini CLI.
CodeGraphContext/CodeGraphContext	4101	An MCP server plus a CLI tool that indexes local code into a graph database to provide context to AI assistants.
sourcegraph/cody-public-snapshot	3806	Type less, code more: Cody is an AI code assistant that uses advanced search and codebase context to help you write and fix code.
Leonxlnx/agentic-ai-prompt-research	2510	Research into how agentic AI coding assistants work. Reconstructed prompt patterns, agent coordination, and security classification
Natively-AI-assistant/natively-cluely-ai-assistant	2298	Natively — Free open-source AI meeting assistant, interview copilot, and note taker. The best alternative to Cluely, Otter, Granola, Final Round AI, Fireflies, and Interview Coder. Real-time transcription, AI meeting notes, lecture recording, local RAG, BYOK, and stealth mode. Runs locally. No subscriptions. No data breaches.
approximatelabs/sketch	2284	AI code-writing assistant that understands data content
outflanknl/EvilClippy	2255	A cross-platform assistant for creating malicious MS Office documents. Can hide VBA macros, stomp VBA code (via P-Code) and confuse macro analysis tools. Runs on Linux, OSX and Windows.
coleam00/mcp-crawl4ai-rag	2240	Web Crawling and RAG Capabilities for AI Agents and AI Coding Assistants
Doriandarko/deepseek-engineer	2239	A powerful coding assistant application that integrates with the DeepSeek API to process user conversations and generate structured JSON responses. Through an intuitive command-line interface, it can read local file contents, create new files, and apply diff edits to existing files in real time.
tnm/zclaw	2219	Your personal AI assistant at all-in 888KiB (~35KB in app code). Running on an ESP32. GPIO, cron, custom tools, memory, and more.
TommyLemon/APIAuto	2215	☔ 敏捷开发最强大易用的接口工具，机器学习零代码测试与 AI 问答、生成代码与静态检查、生成文档与光标悬浮注释，腾讯、华为、SHEIN、传音、工行等使用 ☔ The most advanced tool for HTTP API. Machine learning no-code testing and AI assistant, generating codes and static analysis, generating comments and floating hints. Used by Tencent, Huawei, SHEIN, TRANSSION, ICBC, etc.
tractorjuice/arc-kit	2192	The Enterprise Architecture Governance Harness — strategy, architecture, delivery, and assurance using AI coding assistants
0xSteph/pentest-ai-agents	2136	Turn Claude Code into your offensive security research assistant. Specialized AI subagents for authorized penetration testing plan engagements, analyze recon, research exploits, build detections, audit STIGs, and write reports.
greggh/claude-code.nvim	2090	Seamless integration between Claude Code AI assistant and Neovim
WordPress/agent-skills	2026	Expert-level WordPress knowledge for AI coding assistants - blocks, themes, plugins, and best practices
Eronred/aso-skills	1763	AI agent skills for App Store Optimization (ASO) and app marketing. Built for indie developers, app marketers, and growth teams who want Cursor, Claude Code, or any Agent Skills-compatible AI assistant to help with keyword research, metadata optimization, competitor analysis, and app growth.
sourcegraph/awesome-code-ai	1695	A list of AI coding tools (assistants, completions, refactoring, etc.)
zubair-trabzada/ai-legal-claude	1691	AI Legal Assistant skill for Claude Code. Contract review, risk analysis, NDA generation, compliance auditing, negotiation strategy, and PDF reports — 14 skills, 5 parallel agents. If you want to learn how to sell this to real businesses, check out the Skool community
callstackincubator/agent-skills	1616	A collection of agent-optimized React Native skills for AI coding assistants.
ezyang/codemcp	1607	Coding assistant MCP for Claude Desktop
F9y4ng/GreasyFork-Scripts	1500	The open source code of this project is used for userscripts (油猴脚本) for desktop browsers, including Font Rendering (Customized) (字体渲染（自用脚本）- Font Rendering.user.js), and Search Engine Assistant (优雅的搜索引擎助手 - Google & Baidu Switcher.user.js), etc.
simonlin1212/global-stock-data	1480	US stock market data for AI coding assistants — zero-auth, official sources. CBOE options with full Greeks + 0DTE flow, FINRA market-wide short volume, SEC EDGAR filing stream, and a free market-wide screener. 13 layers, 30+ endpoints, 11 sources. Every source labeled with its compliance tier.
tddworks/ClaudeBar	1425	A macOS menu bar application that monitors AI coding assistant usage quotas. Keep track of your Claude, Codex, Antigravity ,and Gemini usage at a glance.
inkeep/agents	1377	Create AI Agents in a No-Code Visual Builder or TypeScript SDK with full 2-way sync. For shipping AI assistants and multi-agent AI workflows.
kimsungwhee/apple-docs-mcp	1361	MCP server for Apple Developer Documentation - Search iOS/macOS/SwiftUI/UIKit docs, WWDC videos, Swift/Objective-C APIs & code examples in Claude, Cursor & AI assistants
codefuse-ai/codefuse-chatbot	1291	An intelligent assistant serving the entire software development lifecycle, powered by a Multi-Agent Framework, working with DevOps Toolkits, Code&Doc Repo RAG,  etc.
GreatScottyMac/RooFlow	1232	RooFlow - Enhanced Memory Bank System with ☢️Footgun Power☢️  Next-gen Memory Bank system with five integrated modes and system-level customization. Uses Roo Code's experimental "Footgun" feature for deep AI assistant customization while maintaining efficient token usage! 
madox2/vim-ai	1186	AI-powered code assistant for Vim. OpenAI and ChatGPT plugin for Vim and Neovim.
AlexSergey/rockpack	1175	Zero-config React with built-in SSR, automated quality gates, and AI-ready project structure - ship clean code whether you write it yourself or with an AI assistant.
RchGrav/claudebox	1136	The Ultimate Claude Code Docker Development Environment - Run Claude AI's coding assistant in a fully containerized, reproducible environment with pre-configured development profiles.
LiuMengxuan04/MiniCode	1062	A lightweight terminal coding assistant with Claude Code-like workflow, tool loop, and TUI architecture, built for learning and experimentation. Multi-language support: TypeScript , Python and Rust implementations available now.
vstorm-co/pydantic-deepagents	1036	Open-source, self-hosted Claude Code - a terminal AI assistant and the Python framework behind it. Tool-calling, sandboxed execution, multi-agent teams, skills, checkpoints, unlimited context - on Pydantic AI, any model.
kunal12203/GrapeRoot	1023	Compounding Context for AI Coding Assistants — MCP graph engine for Claude Code, Cursor, Copilot, Gemini, OpenCode
editor-code-assistant/eca	968	Editor Code Assistant (ECA) - AI pair programming capabilities agnostic of editor
raroque/vibe-security-skill	963	Agent skill that audits vibe-coded apps for common security vulnerabilities introduced by AI coding assistants
guanyang/open-agent-hub	952	A lightweight, zero-dependency CLI tool to manage and activate capabilities for AI coding assistants (such as Claude Code, Cursor, Trae, etc.).
jiweiyeah/Skills-Manager	945	A high-performance desktop application for managing skills across multiple AI coding assistants. Seamlessly organize, sync, and share skills for Claude Code、Codex、Opencode and other AI tools. Built with Tauri 2.0, React 19, and Rust.
agentic-community/mcp-gateway-registry	867	Enterprise-ready MCP Gateway & Registry that centralizes AI development tools with secure OAuth authentication, dynamic tool discovery, and unified access for both autonomous AI agents and AI coding assistants. Transform scattered MCP server chaos into governed, auditable tool access with Keycloak/Entra integration.
swapperfinance/swapper-toolkit	846	DeFi toolkit for AI agents and coding assistants — deposit funds, execute trades, and manage crypto wallets. Works with Claude Code, Cursor,   Windsurf, OpenClaw, CrewAI, AutoGPT, and other AI agent frameworks.
dominikmartn/hue	803	open-source skill that learns any brand and turns it into a complete design system. works on claude code and codex. install once, every UI your assistant builds matches your brand.
RealDeco/xiaozhi-esphome	800	Alternative code to use xiaozhi ai devices in esphome/home assistant.
komal-SkyNET/claude-skill-homeassistant	791	Claude Code skill to supercharge and manage all Home Assistant workflows
coleam00/second-brain-starter	742	Build your own AI Second Brain with Claude Code - a skill that generates a personalized PRD for a proactive, persistent AI assistant
0xranx/OpenContext	731	A personal context store for AI agents and assistants—reuse your existing coding agent CLI (Codex/Claude/OpenCode) with built‑in Skills/tools and a desktop GUI to capture, search, and reuse project knowledge across agents and repos.
gszhangwei/open-spdd	727	A SPDD AI Coding Assistant Command Template Manager
MicrosoftDocs/Agent-Skills	711	Curated Agent Skills for Microsoft & Azure – giving AI coding assistants structured, real-time expertise from Microsoft Learn docs.
keesschollaart81/vscode-home-assistant	707	Visual Studio Code Extension for Home Assistant. ⭐ if you think this is cool!
gensyn-ai/codeassist	702	A completely private and local AI coding assistant, developed by Gensyn. It helps you practice programming problems and train a novel assistant to help you code.
marckohlbrugge/37signals-skills	701	Unofficial agent skills + reference guide that teach AI coding assistants to write Rails the 37signals way — extracted from Fizzy, Campfire, and DHH's code reviews
onmax/nuxt-skills	700	Vue, Nuxt, and NuxtHub skills for AI coding assistants.
leona/helix-gpt	697	Code assistant language server for Helix with support for Copilot/OpenAI/Codeium/Ollama
probelabs/probe	687	AI-friendly semantic code search engine for large codebases. Combines ripgrep speed with tree-sitter AST parsing. Powers AI coding assistants with precise, context-aware code understanding.
hassio-addons/addon-vscode	680	Studio Code Server - Home Assistant Community Add-ons
