codefuse-ai/Awesome-Code-LLM	3426	[TMLR] A curated list of language modeling researches for code (and other software engineering activities), plus related datasets.
OpenCoder-llm/OpenCoder-llm	2106	The Open Cookbook for Top-Tier Code Large Language Model
huybery/Awesome-Code-LLM	1290	👨‍💻 An awesome and curated list of best code-LLM for research.
ckd0817/LLM-Interview-Code	803	
AIR-hl/llm-interview-code	565	LLM面试常见手撕合集
PAIR-code/llm-comparator	525	LLM Comparator is an interactive data visualization tool for evaluating and analyzing LLM responses side-by-side, developed by the PAIR team.
e2b-dev/llm-code-interpreter	481	[DEPRECATED] Powered by AI Playgrounds by E2B. Code interpreter on steroids for ChatGPT. Run any language, any terminal process, use filesystem freely. All with access to the internet.
intro-llm/intro-llm-code	438	
amantus-ai/llm-codes	346	Transform developer documentation to clean Markdown
xjywhu/Awesome-Multimodal-LLM-for-Code	274	[TMLR 2026] Multimodal Large Language Models for Code Generation under Multimodal Scenarios
mlzoo/LLM-theory-with-code-tutorials	273	大语言模型(LLM)理论+代码教程，由浅入深，带你系统学习LLM的理论知识并从代码层面理解其如何实现。
datawhalechina/code-your-own-llm	211	一份全栈式大语言模型参考指南，用最简洁的代码帮助你端到端定义模型从零训练到工程落地的每一个细节
juyongjiang/CodeLLMSurvey	203	[TOSEM'25] The official GitHub page for the survey paper "A Survey on Large Language Models for Code Generation".
yangdongchao/LLM-Codec	147	The open source code for LLM-Codec 
simonw/llm-openai-via-codex	111	Access OpenAI models via an existing Codex subscription
ilya-aby/llm-codenames	110	Implementation of the board game Codenames, re-imagined as a collaborative game between LLM agents
simonw/codespaces-llm	104	Codespaces with LLM pre-configured using GitHub models
MBZUAI-LLM/web2code	103	Web2Code: A Large-scale Webpage-to-Code Dataset and Evaluation Framework for Multimodal LLMs
minimaxir/llm-write-better-code	101	Conversation logs with Claude 3.5 Sonnet to try and iteratively optimize code
