Aider-AI/aider	48333	aider is AI pair programming in your terminal
editor-code-assistant/eca	968	Editor Code Assistant (ECA) - AI pair programming capabilities agnostic of editor
MatthewZMD/aidermacs	922	AI Pair Programming in Emacs with Aider
1ay1/agentty	606	AI pair programming in your terminal — one static binary, sub-ms startup, any model
pasky/claude.vim	471	Claude vim plugin for AI pair programming - a hacker's gateway to LLMs
microsoft/mastering-github-copilot-for-dotnet-csharp-developers	386	Master GitHub Copilot for C#/.NET development via this curriculum! Learn AI-driven paired programming, optimize your workflow, and write cleaner, faster code.
timwuhaotian/the-pair	354	Open-source AI pair programming for desktop: a Mentor + Executor agent cross-check each other's code to catch AI hallucinations. Works with Claude Code, Codex, Gemini & opencode. macOS / Windows / Linux.
lnxpy/hey	234	💬 AI-Powered Pair Programming Friend!
cpoile/claudemacs	176	AI Pair Programming with Claude Code in Emacs
kristoferlund/duet-gpt	168	A conversational semi-autonomous developer assistant. AI pair programming without the copypasta.
usecroft/laravel	87	MCP server for all of your Laravel projects - better AI pair programming
LinkedInLearning/pair-programming-with-ai-4401992	57	This is a repository for the LinkedIn Learning course Pair Programming with AI
Piotr1215/pairup.nvim	53	AI Pair Programming in Neovim
