lst97/claude-code-sub-agents	1669	Collection of specialized AI subagents for Claude Code for personal use (full-stack development).
disler/claude-code-hooks-multi-agent-observability	1521	Real-time monitoring for Claude Code agents through simple hook event tracking.
hesreallyhim/a-list-of-claude-code-agents	1342	A list of Claude Code Sub-Agents submitted by the community.
hoangsonww/Claude-Code-Agent-Monitor	924	🚀 A real-time monitoring dashboard for Claude Code & Codex, built with SQLite3, Node.js, Express, React, Vite, TailwindCSS, & WebSockets. It tracks sessions, agent activity, tool usage, and subagent orchestration, providing live analytics, a Kanban status board, status notifications, a cute buddy, & an interactive web UI/MacOS/Windows native app.
Dicklesworthstone/claude_code_agent_farm	912	Orchestration framework for running 20+ Claude Code agents in parallel: automated bug fixing, best-practices sweeps, lock-based coordination, and real-time tmux monitoring
codefuse-ai/CodeFuse-muAgent	774	An Innovative Agent Framework Driven by KG Engine
darcyegb/ClaudeCodeAgents	759	A set of useful QA agents for Claude Code.
stretchcloud/claude-code-unified-agents	752	
YennNing/Awesome-Code-as-Agent-Harness-Papers	650	A curated list of papers and resources based on the survey "Code as Agent Harness"
mustafakendiguzel/claude-code-ui-agents	625	🎨 A curated collection of Claude AI agent prompts specifically designed for UI/UX design, web development, and frontend tasks. Transform your design workflow with specialized prompts for creating interfaces, components, and user experiences.
jiji262/build-code-agent	620	从零构建 Code Agent：Claude Code 源码深度解析 | Build a Code Agent from Scratch: Deep Dive into Claude Code Source
Code-and-Sorts/awesome-copilot-agents	560	✨ A curated list of awesome GitHub instructions, prompt, skills, MCPs and agent markdown files for enhancing your GitHub Copilot AI experience.
HarnessLab/claw-code-agent	543	 Claw Code No Rust No TypeScript Only Python. Easy to work with. Fast to iterate. 🔥 Zero external dependencies 🔥
microsoft/aitour26-WRK541-real-world-code-migration-with-github-copilot-agent-mode	539	
vanzan01/claude-code-sub-agent-collective	523	  🧠 Context Engineering Research - Not just another agent collection, but using research and context engineering to function as a collective. Hub-and-spoke coordination through Claude   Code.
panaversity/learn-low-code-agentic-ai	454	Low-Code Full-Stack Agentic AI Development using LLMs, n8n, Loveable, UXPilot, Supabase and MCP. Class Videos: https://www.youtube.com/playlist?list=PL0vKVrkG4hWq5T6yqCtUL7ol9rDuEyzBH
huangd1999/AgentCoder	388	AgentCoder: multi-agent code generation framework.
ghuntley/amazon-kiro.kiro-agent-source-code-analysis	370	
liangdabiao/Claude-Code-Stock-Deep-Research-Agent	365	本研究基于 Claude Code Deep Research 系统：  方法论: 8阶段股票投资尽调框架 智能体: 28个并行研究智能体 工具: WebSearch、WebFetch、综合分析 质量: 多空平衡、明确风险、数据验证。简单使用：/stock-research AAPL, I want a quick overview
aws/aws-codedeploy-agent	336	Host Agent for AWS CodeDeploy
IncomeStreamSurfer/claude-code-agents-wizard-v2	318	
Prorise-cool/Claude-Code-Multi-Agent	302	Claude-Code-Multi-Agent驱动的新一代AI编程助手生态系统，基于Claude Code构建的智能代理协调工作空间，实现从需求到交付的全流程自动化开发
groupzer0/vs-code-agents	284	A multi-agent workflow system for GitHub Copilot in VS Code that brings structure, quality gates, and long-term memory to AI-assisted development with Flowbaby.
oldjs/web-code-agent	270	Browser-local AI code Q&A engine. Chat with your codebase, ensure privacy, and optimize LLM collaboration.
theaiautomators/claude-code-agentic-rag-series	252	Planning docs and PRDs for the Claude Code Agentic RAG Masterclass video series. Build a full-stack AI app with Python, React, and Supabase.
YYHDBL/MyCodeAgent	243	Claude Code like agent for study.
panaversity/learn-agentic-ai-from-low-code-to-code	229	Build production-grade agents with OpenAI AgentKit, a no-code platfrom.
andrealaforgia/claude-code-agents	198	
im-hashim/automotive-claude-code-agents	190	Automotive software engineering is one of the most complex and regulated domains in the world. Engineers juggle **ISO 26262 functional safety**, **AUTOSAR architectures**, **MISRA compliance**, **cybersecurity standards**, and **real-time embedded constraints** -- all while shipping on aggressive timelines.
Ray-Code-Svg/SuperNovaAgent	185	SuperNova is a Windows-first desktop AI Workbench that turns chat into traceable tasks. It combines a Tauri + React Workbench, Rust Product Runtime, typed protocol, and Process Kernel so actions can produce visible artifacts, runtime receipts, replayable evidence, and controlled workspace execution.
dl-ezo/claude-code-sub-agents	185	A complete collection of 35 specialized sub-agents for Claude Code that enable end-to-end software development automation
theaiautomators/claude-code-agentic-rag-masterclass	181	Build an agentic RAG app from scratch by collaborating with Claude Code. 8-module course covering hybrid search, reranking, text-to-SQL, subagents, and more. React + FastAPI + Supabase.
PacktPublishing/Agentic-Coding-with-Claude-Code	179	Agentic Coding with Claude Code, published by Packt
sorrycc/awesome-code-agents	171	
supatest-ai/awesome-claude-code-sub-agents	169	Collection of specialised Claude Code agents
code-forge-temple/agentic-signal	162	🤖 Visual AI agent workflow automation platform with local LLM integration - build intelligent workflows using drag-and-drop interface, no cloud dependencies required.
vizra-ai/claude-code-agents	160	
dztabel-happy/codex-agent	158	
lodetomasi/agents-claude-code	157	  🚀 100 hyper-specialized AI agents for Claude Code - Transform Claude   into your personal tech army with experts in React, AWS, Kubernetes, ML,   Security & more
Siddhant-K-code/agentic-engineering-guide	156	Agentic Engineering Guide
ambient-code/agentready	151	Repo Optimizer: Assess git repositories for AI-assisted development readiness. Submit your score!
eugenepyvovarov/CodeAgentsMobile	151	Mobile agents backed by opencode 
hwfengcs/DM-Code-Agent	151	Local-first, auditable Python code agent. Ships its own 30-task hidden-test benchmark plus SWE-bench Verified scored by the official harness -- every number reproducible, negative results included.
YaoZ720/SwarmAgenticCode	149	The official code for SwarmAgentic. 
undeadlist/claude-code-agents	146	Claude Code Agents Prompt templates for Claude Code's subagent system. Run parallel code audits, automate fix cycles, get stuff reviewed. Built for the Claude Code Task tool. Not a framework. Just prompts that work. What This Does Claude Code can spawn subagents via Task(). These are the prompts those agents receive.
ahmedk20/agentic-ai-from-claude-code	135	Learn production-grade AI agent development from Claude Code's architecture
sugarforever/01coder-agent-skills	131	
TechMitten/Tips-Tricks-for-Agentic-Coder	127	A comprehensive resource designed to help developers effectively use AI tools to develop websites, apps, and other projects. 
win4r/agent-skills-code-review-router	125	
EuniAI/awesome-code-agents	124	A living collection of frontier research on code agents, from the code we build to the worlds we act in.
GuyRonnen/rtl-for-vs-code-agents	123	Native-like RTL support for VS Code AI Agents (i.e. GitHub Copilot) with proper LTR code block formatting. Optimized for Hebrew, Arabic, and Persian.
rubenzantingh/claude-code-magento-agents	121	Collection of Claude Code Subagents designed to be used for Magento (2) development.
microsoft/aitour26-BRK441-Build-and-launch-AI-agents-fast-with-Foundry-Toolkit-for-VS-Code	118	
techwithtim/AI-Agent-Code-Generator	117	
thangnqdev/codex-oss-agent-kit	102	
LeXwDeX/OpenCode-GraphAgent	98	Extends the Hooks API, Directed Acyclic Graph Agent Execution Engine.
Siddhant-K-code/agent-trace	89	Observability for AI agents. See what your agent did, why it cost that much, and what to fix.
0ldh/claude-code-agents-orchestra	83	Turn Claude Code into a coordinated team of 40+ specialized AI agents that work together like a world-class engineering organization.
PriNova/pi-agent-codebase-workflows	81	Pi skills and prompt templates for codebase reconstruction, architecture-aware review, and safe changes.
FISHers6/CodeLearn-Agent	80	
Pricx/codex-inter-agent-chat	78	Codex-native inter-agent terminal chat for independent Codex sessions
AlexGladkov/claude-code-agents	73	My subagents repo
UnrealFactory/AgentCodeGUI	70	Claude Code와 Codex CLI를 위한 올인원 에이전트 앱
gitbito/CodeReviewAgent	67	On-demand, context-aware AI code reviews in your Git workflow or IDE as you code.
aws-samples/sample-codex-agent-team	67	Team of Codex agents that collaborate through a spec-driven development process. Full Stack Developer parent orchestrates dynamically sized pools of specialists: Coding, DevOps, Review, and Solutions Architect agents.
sonnysangha/lms-platform-ai-saas-sanity-clerk-coderabbit-mux-openai-ai-agent-nextjs-16	65	
Siddhant-K-code/agentic-authz	65	Fine-grained authorization for AI agents using OpenFGA.
aws-samples/sample-claude-code-web-agent-on-bedrock-agentcore	62	
JiaruQian/awesome-llm-based-agent4code	62	
EmbodiedCity/CityNavAgent.code	59	[ACL'25] Code for the paper "CityNavAgent: Aerial Vision-and-Language Navigation with Hierarchical Semantic Planning and Global Memory"
intellegix/intellegix-code-agent-toolkit	56	Automated loop driver, slash commands, council automation, MCP browser bridge, and portfolio governance for Claude Code CLI
mckaywrigley/level-4-agent-code	56	
andersonamaral2/Claude-Code-to-Deep-Agents-Skills-Converter	56	Convert Claude Code skills to Deep Agents format (English & Portuguese)
bzppx/bzppx-agent-codepub	53	暴走皮皮虾之代码发布系统agent
mengyp2022-droid/gpt-Codex-Agent-Identity	53	获取gpt-Codex-Agent-Identity 用shub2api反代无需手机接码
JasonSteving99/agent-of-code	53	My first attempt at building an AI "agent". The agent will try iteratively solving Advent of Code puzzles.
aws-samples/sample-claude-code-agent-team	52	Team of specialized AI agents that collaborate through a spec-driven development process. Full Stack Developer parent orchestrates dynamically sized pools of specialists: Coding, DevOps, Review, and Solutions Architect agents. 
Chat2AnyLLM/code-agent-manager	50	code-agent-manager allows you to manage the code assistants like claude code, codex, gemini on a single interface.
kevinten-ai/ai-agent-agentscope-codereview	49	基于 AgentScope Java SDK 的智能代码审查 AI Agent，同时作为 AgentScope 框架学习教程。涵盖 ReAct 模式、工具系统、多 Agent 协作等核心概念。
huoji120/code_review_agent	49	
shinpr/agentic-code	48	Agentic coding framework powered by AGENTS.md: systematic, test-first workflows with quality gates for Cursor, Codex, Gemini CLI, and AI coding agents.
mvanhorn/agentmail-to-claude-code	48	Email gateway that opens a Claude Code session per inbound AgentMail message (cmux or Ghostty)
samugit83/AutoCodeAgent2.0	47	AutoCodeAgent - An innovative AI agent powered by IntelliChain, Deep Search, and multi-RAG techniques
SAP-samples/codejam-code-based-agents	46	Learn how to write code-based agents using Python, JavaScript and well-known industry standard frameworks. Learn how to deploy your code-based agent to SAP BTP, Kyma runtime, orchestrate them using Joule and integrate into the SAP ecosystem.
goldmar/openclaw-code-agent	44	A stateful coding agent plugin for OpenClaw
hyyhf/agent-book-code	44	《从0开始构建 AI 智能体》 一本带你亲手打造属于自己的AI Agent 的实战书
highkay/codereview-agent	44	A codereview agent for small dev team
shakacode/claude-code-commands-skills-agents	44	ShakaCode Team Shared Claude Code Commands, Agents, Skills, Tips
Code-Parrot-ai/js-agent	44	
yzyydev/claude_code_sub_agents	43	Claude Multi-Agent: Iterative Sub-Agent Orchestration System - Transform single-threaded AI assistance into a distributed, self-coordinating agent network capable of handling tasks of arbitrary complexity and scale.
BetterAndBetterII/codex-agent-identity	42	Codex Agent Identity 实验流程的最小独立实现
AIGeniusInstitute/LLM-based-Multi-Agent-System-Architecture-Design-and-Project-Code-Practice	41	LLM-based Multi-Agent 系统架构设计与项目代码实践
artvandelay/codex-agentic-patterns	40	Learn to build production-ready AI agents through real-world patterns extracted from OpenAI's Codex CLI
VRSEN/mcp-code-exec-agent	39	
potproject/code-agent	38	An AI Agent that operates on GitHub Actions. By using this action, you can directly invoke Coding Agent CLI from GitHub Issues or Pull Request comments and automate code changes.
MarceloCaporale/codex-agent-mem	37	Local-first Model Context Protocol (MCP) memory layer for Codex CLI/Desktop, Claude Code, Gemini CLI, Qwen/DeepSeek/Ollama and agent workflows. SQLite + FTS5 compact context packs, token savings, read-only mode, no external memory server.
smirk-dev/CodeReview-AI-Agent	37	Multi-agent AI system for automated code review using Google's ADK - Kaggle Agents Intensive Capstone Project 2025
violetDelia/codex-multi-agents	36	
KULEEEE/Unity-Agent-For-Claude-Code	34	This is Claude Code Tool for Unity Shader.
gabrielmaialva33/winx-code-agent	33	🦀 A high-performance code agent written in Rust, combining the best features of WCGW for maximum efficiency and semantic capabilities. 
