coder/agentapi	1485	HTTP API for Claude Code, Goose, Aider, Gemini, Amp, and Codex
huangd1999/AgentCoder	388	AgentCoder: multi-agent code generation framework.
sugarforever/01coder-agent-skills	131	
TechMitten/Tips-Tricks-for-Agentic-Coder	127	A comprehensive resource designed to help developers effectively use AI tools to develop websites, apps, and other projects. 
emailhayday10-coder/agent-doctor	90	
gitbito/CodeReviewAgent	67	On-demand, context-aware AI code reviews in your Git workflow or IDE as you code.
sonnysangha/lms-platform-ai-saas-sanity-clerk-coderabbit-mux-openai-ai-agent-nextjs-16	65	
Techno-coder/osu-macOS-Agent	51	osu!macOS Agent - An auxiliary troubleshooting tool for osu!
kevinten-ai/ai-agent-agentscope-codereview	49	基于 AgentScope Java SDK 的智能代码审查 AI Agent，同时作为 AgentScope 框架学习教程。涵盖 ReAct 模式、工具系统、多 Agent 协作等核心概念。
highkay/codereview-agent	44	A codereview agent for small dev team
coder-irwin/voice_ai_agents_using-Gemini_live_api	38	
smirk-dev/CodeReview-AI-Agent	37	Multi-agent AI system for automated code review using Google's ADK - Kaggle Agents Intensive Capstone Project 2025
truemagic-coder/nemo-agent	36	Your Python AI Coder!
hanjiayuan2025-coder/CampusApply-Agent	30	🎓 校招网申智能体 - AI驱动的网申表单自动填充Chrome插件
truemagic-coder/solana-agent-app	29	Solana Agent Example App
sonnysangha/ai-podcast-saas-nextjs-16-inngest-clerk-ai-agent-coderabbit	26	
yashksaini-coder/Hack-Agent-Server	25	Developed a Web search and Financial Analyst AI agent team Scraping web to provide real time data, and streamlined in real time as API service
coder/agent-tty	24	Drive, inspect & record terminal sessions from the CLI
TNG/oh-my-agentic-coder	22	oh-my-agentic-coder is a harness agnostic sandbox built on seatbelt/bubblewrap/landlock.
