t4t5/sweetalert	22261	A beautiful replacement for JavaScript's "alert"
SWE-agent/SWE-agent	20079	SWE-agent takes a GitHub issue and tries to automatically fix it, using your LM of choice. It can also be employed for offensive cybersecurity or competitive coding challenges. [NeurIPS 2024] 
sweetalert2/sweetalert2	18100	✨ A beautiful, responsive, highly customizable and accessible (WAI-ARIA) replacement for JavaScript's popup boxes. Zero dependencies. 🇺🇦🇪🇺
langchain-ai/open-swe	10577	An Open-Source Asynchronous Coding Agent
speedyapply/2027-SWE-College-Jobs	8877	2027 SWE internship & new graduate job list updated daily
sweepai/sweep	7700	Sweep: AI coding assistant for JetBrains
pedant/sweet-alert-dialog	7217	SweetAlert for Android, a beautiful and clever alert dialog
SWE-agent/mini-swe-agent	6617	The 100 line AI agent that solves GitHub issues or helps you in your command line. Radically simple, no huge configs, no giant monorepo—but scores >74% on SWE-bench verified!
SWE-bench/SWE-bench	5669	SWE-bench: Can Language Models Resolve Real-world Github Issues?
sweet-js/sweet-core	4559	Sweeten your JavaScript.
fbdesignpro/sweetviz	3117	Visualize and compare datasets, target values and associations, with one line of code.
arc90/git-sweep	2704	A command-line tool that helps you clean up Git branches that have been merged into master.
davidphilipbarr/Sweep	2107	Sweep - a small promicro based keyboard inspired by the Ferris.
zzz40500/AndroidSweetSheet	2044	一个富有动感的Sheet(选择器)
codestergit/SweetAlert-iOS	2031	Live animated Alert View for iOS written in Swift
sweetpad-dev/sweetpad	1869	Develop Swift/iOS projects using VSCode
CCob/SweetPotato	1837	Local Service to SYSTEM privilege escalation from Windows 7 to Windows 10 / Server 2019
EliverLara/Sweet	1702	A beautiful theme with neon vibes for GNOME
datacurve-ai/deep-swe	1439	Measuring frontier coding agents on original, long-horizon engineering tasks
openai/SWELancer-Benchmark	1429	This repo contains the dataset and code for the paper "SWE-Lancer: Can Frontier LLMs Earn $1 Million from Real-World Freelance Software Engineering?"
AlanChen4/Summer-2024-SWE-Internships	1364	A list of Summer 2024 internships for software engineering, updated automatically everyday
realrashid/sweet-alert	1161	A BEAUTIFUL, RESPONSIVE, CUSTOMIZABLE, ACCESSIBLE (WAI-ARIA) REPLACEMENT FOR JAVASCRIPT'S POPUP BOXES FOR LARAVEL
Swetrix/swetrix	1154	📈 Open source, privacy-first web analytics — a cookie-less Google Analytics alternative with built-in error tracking and performance monitoring. Self-host it or use our cloud. Get started for free!
jamsocket/y-sweet	1015	A realtime CRDT-based document store, backed by S3.
open-source-labs/Swell	983	Swell: API development tool that enables developers to test endpoints served over streaming technologies including Server-Sent Events (SSE), WebSockets, HTTP2, GraphQL, gRPC, and tRPC..
holmgr/cargo-sweep	981	A cargo subcommand for cleaning up unused build files generated by Cargo
Agent-Field/SWE-AF	978	Autonomous software engineering fleet of AI agents for production-grade PRs on AgentField: plan, code, test, and ship.
zarkin404/sweater	919	薅 🐑 毛，做衬衫
atlassian/react-sweet-state	884	Shared state management solution for React
westerndigitalcorporation/swerv_eh1	882	A directory of Western Digital’s RISC-V SweRV Cores
augmentcode/augment-swebench-agent	880	The #1 open-source SWE-bench Verified implementation
propjockey/css-sweeper	856	MineSweeper implemented in CSS + HTML using the Space Toggle trick (no JavaScript!)
uxweb/sweet-alert	825	A simple PHP package to show SweetAlerts with the Laravel Framework
tamhoang1412/backend-swe-interview-questions	816	Technical interview questions for backend engineer.
EliverLara/firefox-sweet-theme	813	:candy: A dark and modern theme for firefox with vibrant colors
SweetSub/SweetSub	797	Subtitle source files from SweetSub, a fansub group
TravisFSmith/SweetSecurity	795	Network Security Monitoring on Raspberry Pi type devices
uknowsec/SweetPotato	795	Modifying SweetPotato to support load shellcode and webshell
