shanraisshan/claude-code-best-practice	64745	from vibe coding to agentic engineering - practice makes claude perfect
BloopAI/vibe-kanban	27856	Get 10X more out of Claude Code, Codex or any coding agent
2025Emma/vibe-coding-cn	22760	
datawhalechina/easy-vibe	19004	💻  vibe coding 101｜The first course for AI-native product builders.
liyupi/ai-guide	18907	程序员鱼皮的 AI 资源大全 + Vibe Coding 零基础教程，分享 OpenClaw 保姆级教程、大模型玩法（DeepSeek / GPT / Gemini / Claude / GLM）、最新 AI 资讯、Prompt 提示词大全、AI 知识百科（Agent Skills / RAG / MCP / A2A）、AI 编程教程（Harness Engineering）、AI 工具用法（Cursor / Claude Code / TRAE / Codex / Copilot）、AI 开发框架教程（Spring AI / LangChain）、AI 产品变现指南，帮你快速掌握 AI 技术，走在时代前沿。本项目为开源文档 aiguide，已升级为鱼皮 AI 导航网站
coleam00/context-engineering-intro	13787	Context engineering is the new vibe coding - it's the way to actually make AI coding assistants work. Claude Code is the best for this so that's what this repo is centered around, but you can apply this strategy with any AI coding assistant!
refly-ai/refly	7490	The first open-source agent skills builder. Define skills by vibe workflow, run on Claude Code, Cursor, Codex & more. Build Clawdbot 🦞· APIs for Lovable · Bots for Slack & Lark/Feishu · Skills are infrastructure, not prompts.
zai-org/GLM-5	7007	GLM-5: From Vibe Coding to Agentic Engineering
datawhalechina/vibe-vibe	5929	AI for All: The First Systematic Vibe Coding Tutorial | From Zero to Full-Stack, Bring Your Ideas to Life | Live at: www.vibevibe.cn   ；全民AI学习第一课，首个系统化 Vibe Coding 开源教程 | 零基础到全栈实战，让人人都能借助 AI 实现自己的想法与创意 | 在线地址：www.vibevibe.cn
zarazhangrui/codebase-to-course	5425	A Claude Code skill that turns any codebase into a beautiful, interactive single-page HTML course for non-technical vibe coders.
cloudflare/vibesdk	5323	An open-source vibe coding platform that helps you build your own vibe-coding platform, built entirely on Cloudflare stack 
filipecalegario/awesome-vibe-coding	5136	A curated list of vibe coding references, collaborating with AI to write code.
mistralai/mistral-vibe	4850	Minimal CLI coding agent by Mistral
tiann/hapi	4834	App for Codex / Claude Code / Pi / OpenCode / Kimi Code / Grok Build, vibe coding anytime, anywhere
EnzeD/vibe-coding	4757	
automazeio/vibeproxy	3295	Native macOS menu bar app to use your Claude Code & ChatGPT subscriptions with AI coding tools - no API keys needed
agent-of-empires/agent-of-empires	3102	Manage multiple Claude Code, OpenCode agents from either TUI or Web for easy access on mobile. Also supports Mistral Vibe, Codex CLI, Gemini CLI, Pi.dev, Copilot CLI, Factory Droid Coding.
edison7009/EchoBird	3087	One-click install + model switch:Claude Code,Codex CLI (OpenAI), Grok Build (xAI), DeepSeek Harness, Kimi Code (Moonshot) ,Qwen Code,Aider,OpenCode,MiMo Code (Xiaomi),ZCode (Z.AI),OpenClaw,Pi,OpenScience,Vibe-Trading,Claude Desktop (3P profile),ChatGPT desktop,OpenCode Desktop,
KhazP/vibe-coding-prompt-template	2851	Templates and workflow for generating PRDs, Tech Designs, and MVP and more using LLMs for AI IDEs
farouqaldori/vibe-notch	2483	Claude Code notifications without the context switch. A minimal, always-present session manager for macOS.
The-Vibe-Company/companion	2398	Web & Mobile UI for Claude Code & Codex . Launch sessions, stream responses, approve tools.  All from your browser / mobile
oinone/oinone-pamirs	2351	Oinone is an AI‑Powered low‑code framework that unifies AI and developers around a shared metadata model to build maintainable, evolvable, high‑quality enterprise intelligent applications.[AI Coding][Vibe Coding][Framework][Low Code]
Octane0411/open-vibe-island	1938	Native macOS control center for AI coding agents — monitor sessions, approve actions, and jump back instantly.
rdumasia303/deepseek_ocr_app	1892	A quick vibe coded app for deepseek OCR
liyupi/yu-ai-code-mother	1887	编程导航 AI + 微服务全栈新项目，基于 Spring Boot 3 + LangChain4j 的大厂 AI 应用生成平台，支持多种模式的智能代码生成、可视化编辑预览、一键部署分享、应用管理、AI 智能路由等。覆盖 AI 智能体开发、LangGraph4j 工作流、Tool Calling、SSE、Vue 3 全栈开发、Spring Cloud 微服务架构、MySQL / Redis / COS / Caffeine 存储、Nginx、多种设计模式、ARMS + Prometheus + Grafana 监控、Cursor Vibe Coding 等核心技术。 用一套教程掌握大厂级 AI 智能体开发+前后端核心技术，成为 AI 时代企业的香饽饽，给你的简历增加竞争力
