FoundationAgents/MetaGPT	69902	🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming
microsoft/autogen	60525	A programming framework for agentic AI
manaflow-ai/cmux	26251	Open source Ghostty-based macOS terminal with vertical tabs and notifications for AI coding agents. Built for multitasking, organization, and programmability.
future-architect/vuls	12234	Agent-less vulnerability scanner for Linux, FreeBSD, Container, WordPress, Programming language libraries, Network devices
BoundaryML/baml	9040	The programming language for agents
vercel-labs/zerolang	5326	The Programming Language for Agents
langroid/langroid	4101	Harness LLMs with Multi-Agent Programming
dromara/liteflow	3833	Lightweight, fast, stable, programmable component-based rule engine — where AI Agents orchestrate just like ordinary components. Uniquely designed DSL: component reuse, sync/async & dynamic orchestration, multi-language scripting, nested rules, hot deployment and smooth refresh. If you can orchestrate LiteFlow, you can orchestrate AI.
ciembor/agent-rules-books	2533	AGENTS.md rules / skills for AI coding agents: Codex, Cursor & Claude Code. Inspired by Clean Code, Refactoring, DDD, Clean Architecture and DDIA programming books.
karpathy/reinforcejs	1478	Reinforcement Learning Agents in Javascript (Dynamic Programming, Temporal Difference, Deep Q-Learning, Stochastic/Deterministic Policy Gradients)
dulikaifazr/Cougar-CLI	1204	Cougar CLI - An AI programming agent for the command line
projectcalico/felix	917	Project Calico's per-host agent Felix, responsible for programming routes and security policy.
ovh/shai	615	shai is a coding agent, your pair programming buddy that lives in the terminal. Written in rust with love <3
HoangNguyen0403/agent-skills-standard	543	A collection of Agent Skills Standard and Best Practice for Programming Languages, Frameworks that help our AI Agent follow best practies on frameworks and programming laguages
modal-labs/devlooper	471	A program synthesis agent that autonomously fixes its output by running tests!
genielabs/HomeGenie	456	HomeGenie: The Programmable Intelligence with 100% Local Agentic AI.
mackerelio/mackerel-agent	429	mackerel-agent is an agent program to post your hosts' metrics to mackerel.io.
ThunderAgent-org/ThunderAgent	418	A simple, fast and robust program-aware agentic inference system.
timwuhaotian/the-pair	354	Open-source AI pair programming for desktop: a Mentor + Executor agent cross-check each other's code to catch AI hallucinations. Works with Claude Code, Codex, Gemini & opencode. macOS / Windows / Linux.
