anthropics/claude-code	142026	Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands.
shareAI-lab/learn-claude-code	74684	Bash is all you need -  A nano claude code–like 「agent harness」, built from 0 to 1
shanraisshan/claude-code-best-practice	64745	from vibe coding to agentic engineering - practice makes claude perfect
hesreallyhim/awesome-claude-code	52655	A hand-picked collection of the finest of resources for the most awesome of agents, Claude Code, the undisputed champion of coding companions, from the unstoppable team at Anthropic PBC. A delectable showcase of top tier skills, ambidextrous agents, scintillating status lines, top notch developer tooling, and also we have plugins
Alishahryar1/free-claude-code	46130	Use Claude Code, Codex, Pi, and OpenCode for free (1.3B+ free tokens) from your terminal, app, IDE, or phone like OpenClaw (voice supported + ToS friendly)
musistudio/claude-code-router	36735	One local control plane for every AI agent: route across models, fuse new capabilities, orchestrate tools, and stay fully in control.
davila7/claude-code-templates	30296	CLI tool for configuring and monitoring Claude Code
VoltAgent/awesome-claude-code-subagents	24471	A collection of 100+ specialized Claude Code subagents covering a wide range of development use cases
Donchitos/Claude-Code-Game-Studios	24211	Turn Claude Code into a full game dev studio — 49 AI agents, 72 workflow skills, and a complete coordination system mirroring real studio hierarchy.
claude-code-best/claude-code	22129	原汁原昧 Claude Code 可运行,可构建, 可调试版; 生产级工程化, 企业级可靠性; 安全无毒, 内存泄露修复
wanshuiyin/Auto-claude-code-research-in-sleep	14910	ARIS ⚔️ (Auto-Research-In-Sleep) — Lightweight Markdown-only skills for autonomous ML research: cross-model review loops, idea discovery, and experiment automation. No framework, no lock-in — works with Claude Code, Codex, OpenClaw, or any LLM agent.
Piebald-AI/claude-code-system-prompts	12382	All parts of Claude Code's system prompt, 27 builtin tool descriptions, sub agent prompts (Plan/Explore/Task), utility prompts (CLAUDE.md, compact,  statusline, magic docs, WebFetch, Bash cmd, security review, agent creation).  Updated for each Claude Code version.
diet103/claude-code-infrastructure-showcase	10003	Examples of my Claude Code infrastructure with skill auto-activation, hooks, and agents
ykdojo/claude-code-tips	9811	40+ tips for getting the most out of Claude Code, from basics to advanced - includes a custom status line script and Claude Code running itself in a container. Also includes the dx plugin: skills for everyday dev workflows.
ChinaSiro/claude-code-sourcemap	9621	
frankbria/ralph-claude-code	9604	Autonomous AI development loop for Claude Code with intelligent exit detection
anthropics/claude-code-action	8671	
Maciek-roboblog/Claude-Code-Usage-Monitor	8645	Real-time Claude Code usage monitor with predictions and warnings
ChrisWiles/claude-code-showcase	6028	Comprehensive Claude Code project configuration example with hooks, skills, agents, commands, and GitHub Actions workflows
anthropics/claude-code-security-review	5921	An AI-powered security review GitHub Action using Claude to analyze code changes for security vulnerabilities.
FlorianBruniaux/claude-code-ultimate-guide	5763	The most comprehensive Claude Code guide: agentic workflows, hooks, skills, MCP servers, quizzes, and production-ready templates. 430K+ lines.
kodu-ai/claude-coder	5233	Kodu is an autonomous coding agent that lives in your IDE. It is a VSCode extension that can help you build your dream project step by step by leveraging the latest technologies in automated coding agents 
zebbern/claude-code-guide	4583	Claude Code Guide - Setup, Commands, workflows, agents, skills & tips-n-tricks from beginner to power user!
lintsinghua/claude-code-book	4119	《御舆：解码 Agent Harness》42万字拆解 AI Agent 的Harness骨架与神经 —— Claude Code 架构深度剖析，15 章从对话循环到构建你自己的 Agent Harness。在线阅读网站：
yasasbanukaofficial/claude-code	3963	🚀 Open source Claude Code CLI source code. Advanced AI Agent for developers. Includes TypeScript codebase for LLM tool-calling, agentic workflows, and terminal UI. Remember this is just the skeleton not the brain itself. Found by Chaofan Shou. 
disler/claude-code-hooks-mastery	3896	Master Claude Code Hooks
OneRedOak/claude-code-workflows	3885	The best workflows and configurations I've developed, having heavily used Claude Code since the day of it's release. Workflows are based off applied learnings from our AI-native startup.
Pimzino/claude-code-spec-workflow	3848	Automated workflows for Claude Code. Features spec-driven development for new features (Requirements → Design → Tasks → Implementation) and streamlined bug fix workflow for quick issue resolution (Report → Analyze → Fix → Verify).
liuup/claude-code-analysis	3825	🤖 The analysis of Claude Code
1rgs/claude-code-proxy	3731	Run Claude Code on OpenAI models
Windy3f3f3f3f/how-claude-code-works	3480	Deep dive into Claude Code internals — architecture, agent loop, context engineering, and more. / 深入解析 Claude Code 源码：架构、Agent 循环、上下文工程、工具系统等
SeemSeam/claude_codex_bridge	3429	Visible multi-agent CLI workspace for mixing Codex, Claude, Gemini, Kimi, Qwen, Cursor, Copilot, Pi, OpenCode, and other AI coding agents
ding113/claude-code-hub	3325	一个现代化的 Claude Code & Codex API 代理服务，提供智能负载均衡、用户管理和使用统计功能。
oboard/claude-code-rev	3280	Runnable ClaudeCode source code
codeaashu/claude-code	3246	Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands.
nicedreamzapp/claude-code-local	3222	Run Claude Code 100% on-device with local AI on Apple Silicon. MLX-native Anthropic-API server. 6 fighters incl. Muse-Glimmer 30B (now multimodal — reads images, abliterated), Gemma 4 31B, Qwen 3.5 122B (65 tok/s), DeepSeek V4 Flash (1M ctx). Private, offline, airgap-ready. Built for NDA / legal / healthcare workflows.
Chachamaru127/claude-code-harness	3063	Claude Code Dedicated Development Harness - Achieving High-Quality Development Through an Autonomous Plan→Work→Review Cycle
zLanqing/codex-claude-academic-skills	3026	本仓库包含三个面向学术科研人员的Skills，覆盖从文献阅读、论文写作到科学计算的完整研究工作流。office-academic-skill 负责论文阅读报告与学术 PPT/Word 文档生成；research-writing-skill 提供论文写作、润色与审稿回复辅助；scientific-toolkit-skill 整合 MATLAB/Python 科学计算与期刊级图表生成。三个 Skill 专为中文科研用户设计，可在 Claude Code 和 codex 中一键调用。
Cranot/claude-code-guide	2865	The Complete Claude Code CLI Guide - Live & Auto-Updated Every 2 Days
chauncygu/collection-claude-code-source-code	2806	🔥 A collection of the Claude Code open source
fuergaosi233/claude-code-proxy	2773	Claude Code to OpenAI API Proxy
RichardAtCT/claude-code-telegram	2759	A powerful Telegram bot that provides remote access to Claude Code, enabling developers to interact with their projects from anywhere with full AI assistance and session persistence.
alejandrobalderas/claude-code-from-source	2758	Architecture, patterns & internals of Anthropic's AI coding agent — reverse-engineered from source maps
