the-open-agent/openagent	5536	⚡️next-generation personal AI assistant powered by LLM, RAG and agent loops, supporting computer-use, browser-use and coding agent, demo: https://demo.openagentai.org
Devin-AXIS/iPolloWork	4282	A next-generation, source-available AI workspace with a self-evolving agent runtime for editable code, design, presentations, websites, and video—a Codex alternative that integrates DeepSeek Harness for subagent delegation, combining iPolloWork’s complete AI workbench with DSH’s specialized agents and both plugin ecosystems in one workflow.
SamurAIGPT/Generative-Media-Skills	4094	Multi-modal Generative Media Skills for AI Agents (Claude Code, Cursor, Gemini CLI). High-quality image, video, and audio generation powered by muapi.ai.
markdown-viewer/skills	3137	Opinionated skills for AI coding agents to create stunning diagrams and visualizations directly in Markdown. These skills extend agent capabilities across diagram generation, data visualization, and technical documentation.
openai/multi-agent-emergence-environments	1814	Environment generation code for the paper "Emergent Tool Use From Multi-Agent Autocurricula"
zubair-trabzada/ai-legal-claude	1691	AI Legal Assistant skill for Claude Code. Contract review, risk analysis, NDA generation, compliance auditing, negotiation strategy, and PDF reports — 14 skills, 5 parallel agents. If you want to learn how to sell this to real businesses, check out the Skool community
Agents365-ai/video-podcast-maker	1565	Topic → 4K narrated video for coding agents. v4.0: all TTS via the ttsCN engine component (11 platforms incl. MiniMax voice clone, native word-level subtitle sync), manifest-based Asset Engine, Remotion composition, cost-gated AI generation
larlarua/AutoCVE	1266	Agent-driven automated CVE discovery platform for source code auditing, vulnerability verification, and report generation.
PurpleDoubleD/locally-uncensored	1096	Plug-and-play local AI studio: uncensored chat, image & video generation, coding agent. Runs abliterated LLMs + ComfyUI 100% offline. One installer, no Docker, no cloud.
lidge-jun/ima2-gen	703	Local-first visual generation runtime and studio for people and coding agents, with reproducible image and video workflows across multiple providers.
hofstadter-io/hof	613	A developer experience centered on CUE. Unifies schemas, data models, deterministic and agentic code generation, workflow and task engine, dagger powered environments, coding assistant, and vscode extension; woven together on the CUE lattice. Squint harder if you can't see the cube :]
nepfaff/scenesmith	563	Code for "SceneSmith: Agentic Generation of Simulation-Ready Indoor Scenes", ICML 2026 Spotlight
FoundationAgents/ReCode	562	Next paradigm for LLM Agent. Unify plan and action through recursive code generation for adaptive, human-like decision-making.
meodai/skill.color-expert	553	Agent skill for color science expertise. Many references covering color spaces, accessibility (APCA, WCAG), palette   generation, pigment mixing, and historical color theory. Works with Claude Code, Codex, Cursor, Copilot & others.
ZaxbyHub/opencode-swarm	447	  Architect-centric agentic swarm plugin for OpenCode. Hub-and-spoke orchestration with SME consultation, code generation, and QA review.
modelence/modelence	426	Modelence is a full-stack framework for building production web apps with a built-in database, authentication and monitoring. Modelence is opinionated and AI agent-first, which means it's optimized for AI code generation with built-in guardrails.
project-codeguard/rules	420	Project CodeGuard is an AI model-agnostic security framework and ruleset that embeds secure-by-default practices into AI coding workflows (generation and review). It ships core security rules, translators for popular coding agents, and validators to test rule compliance.
huangd1999/AgentCoder	388	AgentCoder: multi-agent code generation framework.
NVlabs/sage	386	Official Code Release of SAGE: Scalable Agentic 3D Scene Generation for Embodied AI
LingyiChen-AI/comfyui-workflow-skill	363	Natural language → ComfyUI workflow JSON. 34 built-in templates, 360+ node definitions, auto model download. Supports txt2img,       img2img, txt2vid, img2vid, audio, 3D generation across SD1.5/SDXL/SD3/FLUX/Wan2.2/HunyuanVideo/LTXV/Mochi/Cosmos + LLM integration.    Works as a skill for Claude Code, Cursor, and other AI coding agents.  
wellingfeng/UltraGameStudio	289	UltraGameStudio - AI coding agent for game development: engine workflows, gameplay code, and asset generation.
yushui2022/MathModel-Skill	285	Agent-native mathematical modeling workflow skills for Trae, Claude Code, and Codex, covering problem parsing, modeling, code generation, evidence checks, paper writing, and Word delivery.
yejy53/GenClaw	278	GenClaw: Code-Driven Agentic Image Generation
Hainrixz/cyber-neo	241	Open-source cybersecurity analysis agent for Claude Code. Scans projects for vulnerabilities across all OWASP 2025 Top 10 and CWE Top 25 categories. 11 security domains, 60+ secret patterns, parallel subagent analysis, professional report generation. Built by tododeia.com
osovv/grace-marketplace	238	 GRACE (Graph-RAG Anchored Code Engineering): open Agent Skills for contract-driven AI code generation with semantic markup, knowledge graphs, and support for Claude   Code, Codex CLI, and Kilo Code.
kyaukyuai/gpt-all-star	238	🤖 AI-powered code generation tool for scratch development of web applications with a team collaboration of autonomous AI agents.
Md-Ashraful-Pramanik/MapCoder	194	MapCoder: Multi-Agent Code Generation for Competitive Problem Solving
RobThePCGuy/Claude-Patent-Creator	172	USPTO patent creation system with MCP server + Claude Code plugin. Hybrid RAG search over   MPEP/USC/CFR, BigQuery access to 76M+ patents, automated 35 USC 112 compliance checks, prior   art search, diagram generation. GPU-accelerated with skills and autonomous agents.
zhenyuw16/GenArtist	169	Code release for our NeurIPS 2024 Spotlight paper "GenArtist: Multimodal LLM as an Agent for Unified  Image Generation and Editing"
vericontext/vibeframe	164	Frontier AI video generation for coding agents - Seedance, Runway, Veo, Kling on your own keys, behind a hard cost cap. CLI + MCP.
DanielSuo117/velocitai	158	Next-generation UI automation harness powered by Python & Playwright. Chat with AI Agents to seamlessly generate, architect, and execute enterprise-grade UI test code.
