anc95/ChatGPT-CodeReview	4455	🐥 A code review bot powered by ChatGPT
sturdy-dev/codereview.gpt	611	Reviews your Pull/Merge Requests using ChatGPT
Kento-Sec/chatGPT-CodeReview	349	这是一个调用chatGPT进行代码审计的工具
eriknomitch/CoderGPT	60	Code context-aware pre-prompt rules for using GPT-4 as a coding assistant effectively.
coder-amiao/ChatGPT-OPEN-AI	44	基于OPEN AI开发免费AI接口一键接入GPT3和GPT4和画图项目案例纯html+css+js
alicheg/gpt-coder	26	An AI-driven code generation tool that creates and solves code challenges using OpenAI's GPT models, featuring auto-refinement, automated testing, compilation.
Caojiahao-Coder/gpt_next	25	GPT_NEXT is an AI chat tool (OpenAI + Groq).
Illia-the-coder/Ukr-Books-ChatGPT-Plugin	20	The Ukr-Books-ChatGPT-Plugin is a Python-based plugin designed to enhance the capabilities of OpenAI's ChatGPT model by integrating it with Ukrainian literature. The plugin fetches, processes, and formats Ukrainian literature data, allowing ChatGPT to generate responses based on this data.
peng-yw/ChatGPT-Gitlab-CodeReview	17	使用 ChatGPT 自动进行 GitLab Merge Request 的 Code Review
ocodista/gpt-coder-ext	15	VSCode extension to generate, refactor or decouple code using GPT-3 model from OpenAI.
