LLM-Coding/Semantic-Anchors	455	
akitaonrails/llm-coding-benchmark	292	Simple benchmark to test the most popular open source and commercial LLMs with automated OpenCode
Ashside/LLM-HandCoding-Interview	50	收集为大模型面试准备的手撕代码
omarabid/cli-llm-coding	48	A concise list of CLI coding tools similar to Claude Code
Blaizzy/Coding-LLMs-from-scratch	38	
ericporres/llm-coding-workflow-skill	35	A skill template that turns Claude into a structured AI pair programmer — planning, chunked execution, human oversight, and granular commits based on Addy Osmani's methodology.
simonw/llm-coding-agent	35	A coding agent built on LLM
anand-subu/automated-clinical-coding-llm	29	
Van-LLM-Crew/cursor-secure-coding	29	ASVS Level 1 and Level 2 cursor rules MDC
pierotofy/LocalCodingLLM	27	Configs, scripts and docs for using local coding LLMs
