ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code	36391	500 AI Machine learning Deep learning Computer vision NLP Projects with code
deepseek-ai/DeepSeek-Coder	24167	DeepSeek Coder: Let the Code Write Itself
Piebald-AI/claude-code-system-prompts	12382	All parts of Claude Code's system prompt, 27 builtin tool descriptions, sub agent prompts (Plan/Explore/Task), utility prompts (CLAUDE.md, compact,  statusline, magic docs, WebFetch, Bash cmd, security review, agent creation).  Updated for each Claude Code version.
deepseek-ai/DeepSeek-Coder-V2	6991	DeepSeek-Coder-V2: Breaking the Barrier of Closed-Source Models in Code Intelligence
kodu-ai/claude-coder	5233	Kodu is an autonomous coding agent that lives in your IDE. It is a VSCode extension that can help you build your dream project step by step by leveraging the latest technologies in automated coding agents 
mckaywrigley/ai-code-translator	4170	Use AI to translate code from one language to another.
codefuse-ai/Awesome-Code-LLM	3426	[TMLR] A curated list of language modeling researches for code (and other software engineering activities), plus related datasets.
letta-ai/letta-code	3059	Stateful agents that are like people, with memory, identity, and the ability to learn and adapt
MLNLP-World/Top-AI-Conferences-Paper-with-Code	2688	MLNLP：本仓库整理人工智能会议（如 ACL、EMNLP、NAACL、COLING、AAAI、IJCAI、ICLR、NeurIPS、ICML 等）中开源代码的论文。
liyupi/yu-ai-code-mother	1887	编程导航 AI + 微服务全栈新项目，基于 Spring Boot 3 + LangChain4j 的大厂 AI 应用生成平台，支持多种模式的智能代码生成、可视化编辑预览、一键部署分享、应用管理、AI 智能路由等。覆盖 AI 智能体开发、LangGraph4j 工作流、Tool Calling、SSE、Vue 3 全栈开发、Spring Cloud 微服务架构、MySQL / Redis / COS / Caffeine 存储、Nginx、多种设计模式、ARMS + Prometheus + Grafana 监控、Cursor Vibe Coding 等核心技术。 用一套教程掌握大厂级 AI 智能体开发+前后端核心技术，成为 AI 时代企业的香饽饽，给你的简历增加竞争力
sunmh207/AI-Codereview-Gitlab	1816	基于大模型(DeepSeek,OpenAI等)的 GitLab 自动代码审查工具；支持钉钉/企业微信/飞书推送消息和生成日报；支持Docker部署；可视化 Dashboard。
sourcegraph/awesome-code-ai	1695	A list of AI coding tools (assistants, completions, refactoring, etc.)
code-kern-ai/refinery	1470	The data scientist's open-source choice to scale, assess and maintain natural language data. Treat training data like a software artifact.
codefuse-ai/codefuse-chatbot	1291	An intelligent assistant serving the entire software development lifecycle, powered by a Multi-Agent Framework, working with DevOps Toolkits, Code&Doc Repo RAG,  etc.
520CCC/AIGenerateCode	1280	Android谷歌上架马甲包垃圾代码混淆
Nathan-code-development/AIApplication	1046	AI model square and chat with AI.
villesau/ai-codereviewer	1037	AI Code Reviewer: Enhance your GitHub workflow with AI-powered code review! Get intelligent feedback and suggestions on pull requests using OpenAI's GPT-4 API, improving code quality and saving developers time.
codeproject/CodeProject.AI-Server	976	CodeProject.AI Server is a self contained service that software developers can include in, and distribute with, their applications in order to augment their apps with the power of AI.
deepseek-ai/awesome-deepseek-coder	810	A curated list of open-source projects related to DeepSeek Coder
codefuse-ai/CodeFuse-muAgent	774	An Innovative Agent Framework Driven by KG Engine
langchain-ai/langgraph-codeact	735	
