dair-ai/Prompt-Engineering-Guide	77604	🐙 Guides, papers, lessons, notebooks and resources for prompt engineering, context engineering, RAG, and AI Agents.
rohitg00/ai-engineering-from-scratch	47216	Learn it. Build it. Ship it for others.
patchy631/ai-engineering-hub	37039	In-depth tutorials on LLMs, RAGs and real-world AI agent applications.
jasontang-ai/Context-Engineering	9219	"Context engineering is the delicate art and science of filling the context window with just the right information for the next step." — Andrej Karpathy. A frontier, first-principles handbook inspired by Karpathy and 3Blue1Brown for moving beyond prompt engineering to the wider discipline of context design, orchestration, and optimization.
ashishps1/learn-ai-engineering	5939	Learn AI and LLMs from scratch using free resources
alexeygrigorev/ai-engineering-field-guide	5308	Research into AI engineering interview assignments, take-home challenges, and hiring practices from 2026
hemansnation/AI-Engineer-Headquarters	3673	A collection of scientific methods, processes, algorithms, and systems to build stories & models.
ai-boost/awesome-harness-engineering	3647	Awesome list for AI agent harness engineering: tools, patterns, evals, memory, MCP, permissions, observability, and orchestration.
microsoft/AI-Engineering-Coach	3615	better agentic engineering
Sumanth077/ai-engineering-toolkit	3376	A curated list of 100+ libraries and frameworks for AI engineers building with LLMs
Sumanth077/Hands-On-AI-Engineering	2932	A curated collection of practical AI projects implementing OCR systems, RAG, AI agents, and other AI use cases.
InterviewReady/ai-engineering-resources	2626	Research papers and blogs to transition to AI Engineering
amitshekhariitbhu/ai-engineering-interview-questions	2572	Your Cheat Sheet for AI Engineering Interview – Questions and Answers.
adithya-s-k/AI-Engineering.academy	2378	Mastering Applied AI, One Concept at a Time 
break-into-data/ai-engineer-toolkit	2184	Projects & Resources to help you become a better AI Developer. 
https-deeplearning-ai/machine-learning-engineering-for-production-public	1972	Public repo for DeepLearning.AI MLEP Specialization
cfregly/ai-performance-engineering	1833	Code, labs, and resources for O'Reilly AI Systems Performance Engineering: GPU optimization, distributed training, inference scaling, and full-stack tuning.
ai-infra-curriculum/ai-infra-engineer-learning	1612	AI Infrastructure Engineer Learning Track - Production ML infrastructure curriculum (2-4 years experience)
ZhangHanDong/harness-engineering-from-cc-to-ai-coding	1488	Harness Engineering From Claude Code source code to AI Coding
loganthorneloe/ai-for-software-engineers	1361	AI foundations for software engineers.
wafer-ai/gpu-perf-engineering-resources	1323	A curriculum for learning about gpu performance engineering, from scratch to what the frontier AI labs do
datascale-ai/data_engineering_book	1295	大模型数据工程：架构、算法及项目实战
onvoyage-ai/gtm-engineer-skills	1275	Claude Code skill for improving website AEO (AI Engine Optimization) and GEO (Generative Engine Optimization) scores — 16 foundational checks, 6 intelligence dimensions, framework-specific fixes
DataExpert-io/ai-engineer-handbook	1191	All the links, books, and creators you need to follow to stay up to date with AI!
AgenticAiLabs/Ai-Engineering-Roadmap	1037	Path to becoming a self-taught AI Engineer - a curated, open-source curriculum modeled after OSSU.
krishnaik06/AI-Engineer-Roadmap-2024	973	
fancyboi999/ai-engineering-from-scratch-zh	968	Agent工程师最全学习路径 · 从零精通 AI 工程 · 20 阶段 503 课 · 中文全量翻译 + 配套站点 + 动画讲解视频 · 如何成为 AI Agent 工程师的修成指南
GoogleCloudPlatform/applied-ai-engineering-samples	846	This repository compiles code samples and notebooks demonstrating how to use Generative AI on Google Cloud Vertex AI.
PrinceSinghhub/Ultimate-AI-Engineer-Roadmap-2026	824	Ultimate AI Engineer Roadmap 2026 - built specifically for your context as an AI Architect building PrinceSinghAI, PrinceSinghDev, Multi-LLM orchestration, RoadmapAI, CodeLLM, and AskAI, Global AI Search
PacktPublishing/30-Agents-Every-AI-Engineer-Must-Build	805	30 Agents Every AI Engineer Must Build, published by Packt
dswh/ai-engineer-roadmap	668	A roadmap describing the required skills, learning resources and sample tools to become an AI Engineer 
evelyyyyynnnnn/5.0-Ai-Engineering-Toolkit	474	Engineering toolkit for building scalable AI systems, including model training pipelines, LLM optimization utilities, and data engineering tools.
BrightPool/prompt-engineering-for-generative-ai-examples	465	
jobright-ai/2026-Software-Engineer-New-Grad	450	Collection of 2026 New Grad Jobs in Software Engineer!
JohnCrickett/ai-assisted-engineering	417	A Guide To AI-Assisted Software Engineering
louisfb01/start-ai-engineering	399	A complete guide to start and improve in AI engineering in 2026 without ANY background in the field and stay up-to-date with the latest news and state-of-the-art techniques!
camlab-ethz/AI_Science_Engineering	397	This repository is the official project page of the course AI in the Sciences and Engineering, ETH Zurich.
cnoe-io/ai-platform-engineering	395	CAIPE: Community AI Platform Engineering
syahiidkamil/Software-Engineer-AI-Agent-Atlas	388	ATLAS: a senior-engineer layer for Claude Code. Explore with wireframes & prototypes, clarify the essentials, capture it in HTML spec doc then let Claude Code's native plan/goal/workflow loop build. Fewer tokens, less ceremony, faster to what people pictured. KISS/YAGNI/DRY, context decides. No overengineering. Clean architecture that works.
athivvat/ai-engineer-guide	386	A Roadmap to Becoming an AI Engineer  — From Zero to AI Engineer 👨🏻‍🚀 🚀
louisfb01/ai-engineering-cheatsheets	336	Give you decision-ready references for the most common AI engineering problems
Ge-limin/ai-native-engineering-manifesto	317	A manifesto and playbook for AI-native software engineering in the LLM era / AI-Native的软件工程宣言
superlinear-ai/awesome-machine-learning-engineer	301	🤓 A curated awesome list of Machine Learning Engineering resources. Feel free to contribute!
cystanford/aigc_LLM_engineering	260	
ai-hpc/ai-hardware-engineer-roadmap	255	Master AI inference, AI agent harness systems, and hardware engineering — then design a physical AI chip. That is the goal.
agenticloops-ai/agentic-ai-engineering	234	Hands-on tutorials for building AI agents from scratch. Learn LLM APIs, prompt engineering, tool calling, and the agent loop through practical examples.
