extreme-assistant/CVPR2024-Paper-Code-Interpretation	12470	cvpr2024/cvpr2023/cvpr2022/cvpr2021/cvpr2020/cvpr2019/cvpr2018/cvpr2017 论文/代码/解读/直播合集，极市团队整理
extreme-assistant/ICCV2023-Paper-Code-Interpretation	2295	ICCV2021/2019/2017 论文/代码/解读/直播合集，极市团队整理
editor-code-assistant/eca	968	Editor Code Assistant (ECA) - AI pair programming capabilities agnostic of editor
SpringKill-team/CodeAuditAssistant	787	 🔍 CodeAuditAssistant - JetBrains Code Audit Plugin (Beta)   ⚡ Deep Call-Chain Tracking | 🚀 Method/Class Search | 🔥 Prebuilt Vuln Sinks   Native Integration | Decompiler/Path Finder | Memory Optimized 🔍 CodeAuditAssistant - IDEA代码审计插件  ⚡ 精准追踪复杂调用链 | 🚀 毫秒级方法搜索 | 🔥 内置高危漏洞检测 原生集成 | 反编译/路径分析 | 内存优化 | 安全审计利器 
editor-code-assistant/eca-emacs	485	Editor Code Assistant (ECA) integration for Emacs
PatrickStarVibe/VibeCodingAssistant-Connect-Your-Codex-And-Claude-Code	450	This system can help bridge the gap between Codex and Claude Code, making it simple to refine a plan until it is complete, or to conduct cross-audits on results and plans. You just need to communicate with the system throughout the entire process. 
Samin100/codex-ios-assistant	243	Control and inspect an iPhone from Codex through iMessage and Shortcuts
extreme-assistant/ECCV2022-Paper-Code-Interpretation	235	ECCV2022 论文/代码/解读合集，极市团队整理
narenmanoharan/gpt-code-assistant	208	gpt-code-assistant is an open-source coding assistant leveraging language models to search, retrieve, explore and understand any codebase.
stippi/code-assistant	179	An LLM-powered, autonomous coding assistant. Also offers an MCP and ACP mode.
c0dezli/claude-code-personal-assistant	134	AI personal assistant setup for Claude Code
MIKOTOKAWAII25/local-ai-code-assistant	121	Local AI Coding Hub: Run Claude Models Offline in 2026
stanek-michal/local_AI_code_assistant_tutorial	98	Guide on how to set up LMStudio and VSCode Continue.dev extension as a local and private coding Copilot. Targeted for 32GB RAM Apple Silicon devices. 
Qiskit/qiskit-code-assistant-vscode	95	A VSCode extension to use the Qiskit Code Assistant (Beta)
editor-code-assistant/eca-nvim	67	Editor Code Assistant (ECA) integration for NVIM
edmar/chatgpt-code-assistant	61	ChatGPT Plugin for retrieving external API documentation and reading and writing to local files.
coleam00/codex-telegram-coding-assistant	59	AI Coding assistant using Codex that integrates directly with Telegram. Send off coding requests from your phone!
