affaan-m/ECC	241194	The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.
anomalyco/opencode	199245	The open source coding agent.
ultraworkers/claw-code	195085	An agent-managed museum exhibit, built in Rust with Gajae-Code / LazyCodex — developed and maintained with no human intervention.
x1xhlol/system-prompts-and-models-of-ai-tools	142940	FULL Augment Code, Claude Code, Cluely, CodeBuddy, Comet, Cursor, Devin AI, Junie, Kiro, Leap.new, Lovable, Manus, NotionAI, Orchids.app, Perplexity, Poke, Qoder, Replit, Same.dev, Trae, Traycer AI, VSCode Agent, Warp.dev, Windsurf, Xcode, Z.ai Code, Dia & v0. (And other Open Sourced) System Prompts, Internal Tools & AI Models
anthropics/claude-code	142023	Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands.
farion1231/cc-switch	128303	A cross-platform desktop All-in-One assistant for Claude Code, Codex, OpenCode, OpenClaw, Grok Build & Hermes Agent. Only official website: ccswitch.io
VoltAgent/awesome-design-md	109304	A collection of DESIGN.md files analysis by popular brand design systems. Drop one into your project and let coding agents generate a matching UI.
openai/codex	106867	Lightweight coding agent that runs in your terminal
DietrichGebert/ponytail	106003	Makes your AI agent think like the laziest senior dev in the room. The best code is the code you never wrote.
earendil-works/pi	93793	AI agent toolkit: unified LLM API, agent loop, TUI, coding agent CLI
thedotmack/claude-mem	91275	Persistent Context Across Sessions for Every Agent –  Captures everything your agent does during sessions, compresses it with AI, and injects relevant context back into future sessions. Works with Claude Code, OpenClaw, Codex, Gemini, Hermes, Copilot, OpenCode + More
nexu-io/open-design	89331	🎨 Best DeepSeek Harness Design Plugin. The open-source Claude Design alternative. 🖥️ Local-first desktop app. 🖼️ Your coding agent becomes the design engine: prototypes, landing pages, dashboards, slides, images & video — real files, HTML/PDF/PPTX/MP4 export. 🤖 Claude Code / Codex / Cursor / DeepSeek Harness / OpenCode & 20+ CLIs via BYOK.
addyosmani/agent-skills	88610	Production-grade engineering skills for AI coding agents.
shareAI-lab/learn-claude-code	74682	Bash is all you need -  A nano claude code–like 「agent harness」, built from 0 to 1
ansible/ansible	70382	Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.
ruvnet/ruflo	68364	🌊 The original agent meta-harness. Deploy intelligent multi-player swarms, coordinate autonomous workflows, and build conversational AI systems. Features adaptive memory, self-learning intelligence, RAG integration, and native Claude Code / Codex / Hermes and many more Integrated
code-yeongyu/oh-my-openagent	68114	omo/lazycodex: The coding agent for tokenmaxxers;the one and only agent harness for complex codebases. For your Codex, for your OpenCode
openinterpreter/openinterpreter	68078	A coding agent for open models like Kimi K3
