multica-ai/andrej-karpathy-skills	204001	A single CLAUDE.md file to improve Claude Code behavior, derived from Andrej Karpathy's observations on LLM coding pitfalls.
n8n-io/n8n	201222	Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.
x1xhlol/system-prompts-and-models-of-ai-tools	142939	FULL Augment Code, Claude Code, Cluely, CodeBuddy, Comet, Cursor, Devin AI, Junie, Kiro, Leap.new, Lovable, Manus, NotionAI, Orchids.app, Perplexity, Poke, Qoder, Replit, Same.dev, Trae, Traycer AI, VSCode Agent, Warp.dev, Windsurf, Xcode, Z.ai Code, Dia & v0. (And other Open Sourced) System Prompts, Internal Tools & AI Models
DietrichGebert/ponytail	106063	Makes your AI agent think like the laziest senior dev in the room. The best code is the code you never wrote.
earendil-works/pi	93844	AI agent toolkit: unified LLM API, agent loop, TUI, coding agent CLI
thedotmack/claude-mem	91279	Persistent Context Across Sessions for Every Agent –  Captures everything your agent does during sessions, compresses it with AI, and injects relevant context back into future sessions. Works with Claude Code, OpenClaw, Codex, Gemini, Hermes, Copilot, OpenCode + More
addyosmani/agent-skills	88628	Production-grade engineering skills for AI coding agents.
Egonex-AI/Understand-Anything	79845	Graphs that teach > graphs that impress. Turn any code into an interactive knowledge graph you can explore, search, and ask questions about. Works with Claude Code, Codex, Cursor, Copilot, Gemini CLI, and more.
daytonaio/daytona	71959	Daytona is a Secure and Elastic Infrastructure for Running AI-Generated Code
ruvnet/ruflo	68374	🌊 The original agent meta-harness. Deploy intelligent multi-player swarms, coordinate autonomous workflows, and build conversational AI systems. Features adaptive memory, self-learning intelligence, RAG integration, and native Claude Code / Codex / Hermes and many more Integrated
headroomlabs-ai/headroom	66911	Compress tool outputs, logs, files, and RAG chunks before they reach the LLM. 20% fewer tokens for coding agents, 60-95% fewer tokens for JSON, same answers. Library, proxy, MCP server.
santifer/career-ops	65849	Open-source AI job search: scan job portals, evaluate listings with a structured A-F rubric into a 1.0-5.0 score, tailor your CV, track applications — runs locally in your AI coding CLI (Claude Code, Codex, OpenCode, Antigravity…)
Fission-AI/OpenSpec	65560	Spec-driven development (SDD) for AI coding assistants.
upstash/context7	60987	Context7 Platform -- Up-to-date code documentation for LLMs and AI code editors
aaif-goose/goose	53017	an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM
bmad-code-org/BMAD-METHOD	52094	Breakthrough Method for Agile Ai Driven Development
diegosouzapw/OmniRoute	51283	Never stop coding. Free MIT AI gateway: one endpoint, 340 providers (90+ free), 1200+ models — Kimi, Claude, GPT, Gemini, GLM, DeepSeek, MiniMax. Works with Claude Code, Codex, Cursor, OpenCode, Cline & Copilot. Quota-aware auto-fallback, RTK+Caveman compression saves 15-95% tokens, MCP/A2A, Desktop/PWA. Built by 450+ contributors
calesthio/OpenMontage	48993	World's first open-source, agentic video production system. 12 production pipelines, 100+ tools, 700+ agent skill and production-knowledge files. Turn your AI coding assistant into a full video production studio.
KeygraphHQ/shannon	46951	Shannon is an AI pentester for web applications and APIs. It analyzes your source code, identifies attack vectors, and executes real exploits to prove vulnerabilities before they reach production.
