affaan-m/ECC	241208	The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.
anomalyco/opencode	199264	The open source coding agent.
ultraworkers/claw-code	195086	An agent-managed museum exhibit, built in Rust with Gajae-Code / LazyCodex — developed and maintained with no human intervention.
x1xhlol/system-prompts-and-models-of-ai-tools	142939	FULL Augment Code, Claude Code, Cluely, CodeBuddy, Comet, Cursor, Devin AI, Junie, Kiro, Leap.new, Lovable, Manus, NotionAI, Orchids.app, Perplexity, Poke, Qoder, Replit, Same.dev, Trae, Traycer AI, VSCode Agent, Warp.dev, Windsurf, Xcode, Z.ai Code, Dia & v0. (And other Open Sourced) System Prompts, Internal Tools & AI Models
anthropics/claude-code	142034	Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands.
farion1231/cc-switch	128320	A cross-platform desktop All-in-One assistant for Claude Code, Codex, OpenCode, OpenClaw, Grok Build & Hermes Agent. Only official website: ccswitch.io
VoltAgent/awesome-design-md	109315	A collection of DESIGN.md files analysis by popular brand design systems. Drop one into your project and let coding agents generate a matching UI.
openai/codex	106892	Lightweight coding agent that runs in your terminal
DietrichGebert/ponytail	106063	Makes your AI agent think like the laziest senior dev in the room. The best code is the code you never wrote.
earendil-works/pi	93844	AI agent toolkit: unified LLM API, agent loop, TUI, coding agent CLI
thedotmack/claude-mem	91279	Persistent Context Across Sessions for Every Agent –  Captures everything your agent does during sessions, compresses it with AI, and injects relevant context back into future sessions. Works with Claude Code, OpenClaw, Codex, Gemini, Hermes, Copilot, OpenCode + More
nexu-io/open-design	89361	🎨 Best DeepSeek Harness Design Plugin. The open-source Claude Design alternative. 🖥️ Local-first desktop app. 🖼️ Your coding agent becomes the design engine: prototypes, landing pages, dashboards, slides, images & video — real files, HTML/PDF/PPTX/MP4 export. 🤖 Claude Code / Codex / Cursor / DeepSeek Harness / OpenCode & 20+ CLIs via BYOK.
addyosmani/agent-skills	88628	Production-grade engineering skills for AI coding agents.
shareAI-lab/learn-claude-code	74694	Bash is all you need -  A nano claude code–like 「agent harness」, built from 0 to 1
ansible/ansible	70388	Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.
ruvnet/ruflo	68374	🌊 The original agent meta-harness. Deploy intelligent multi-player swarms, coordinate autonomous workflows, and build conversational AI systems. Features adaptive memory, self-learning intelligence, RAG integration, and native Claude Code / Codex / Hermes and many more Integrated
code-yeongyu/oh-my-openagent	68123	omo/lazycodex: The coding agent for tokenmaxxers;the one and only agent harness for complex codebases. For your Codex, for your OpenCode
openinterpreter/openinterpreter	68078	A coding agent for open models like Kimi K3
colbymchenry/codegraph	67120	Pre-indexed code knowledge graph, auto syncs on code changes, for Claude Code, Codex, Gemini, Cursor, OpenCode, AntiGravity, Kiro, and Hermes Agent — fewer tokens, fewer tool calls, 100% local
headroomlabs-ai/headroom	66911	Compress tool outputs, logs, files, and RAG chunks before they reach the LLM. 20% fewer tokens for coding agents, 60-95% fewer tokens for JSON, same answers. Library, proxy, MCP server.
cline/cline	66501	Autonomous coding agent as an SDK, IDE extension, or CLI assistant.
shanraisshan/claude-code-best-practice	64750	from vibe coding to agentic engineering - practice makes claude perfect
aaif-goose/goose	53017	an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM
hesreallyhim/awesome-claude-code	52661	A hand-picked collection of the finest of resources for the most awesome of agents, Claude Code, the undisputed champion of coding companions, from the unstoppable team at Anthropic PBC. A delectable showcase of top tier skills, ambidextrous agents, scintillating status lines, top notch developer tooling, and also we have plugins
ChromeDevTools/chrome-devtools-mcp	49432	Chrome DevTools for coding agents
stablyai/orca	49174	Orca is the ADE for working with a fleet of parallel agents. Run any coding agent with your own subscription. Available on desktop, mobile and VPS.
calesthio/OpenMontage	48993	World's first open-source, agentic video production system. 12 production pipelines, 100+ tools, 700+ agent skill and production-knowledge files. Turn your AI coding assistant into a full video production studio.
multica-ai/multica	46891	Assign issues to Claude Code, Codex, Cursor, and 17 more coding agents like teammates — open-source and self-hostable.
abhigyanpatwari/GitNexus	45592	GitNexus: The Zero-Server Code Intelligence Engine -       GitNexus is a client-side knowledge graph creator that runs entirely in your browser. Drop in a git repository (Github, Gitlab, Azure, Local) or ZIP file, and get an interactive knowledge graph with a built in Graph RAG Agent. Perfect for code exploration
coreyhaines31/marketingskills	44945	Marketing skills for Claude Code and AI agents. CRO, copywriting, SEO, analytics, and growth engineering.
danny-avila/LibreChat	42252	Enhanced ChatGPT Clone: Features Agents, MCP, Skills, DeepSeek, Anthropic, AWS, OpenAI, Responses API, Azure, Groq, o1, GPT-5, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, Code Interpreter, langchain, DALL-E-3, OpenAPI Actions, Functions, Secure Multi-User Auth, Presets, open-source for self-hosting. Active
luongnv89/claude-howto	41113	A visual, example-driven guide to Claude Code — from basic concepts to advanced agents, with copy-paste templates that bring immediate value.
Hmbown/CodeWhale	40827	Open-source coding agent for your terminal, built in Rust and on a journey of continuous community improvement. Issues and PRs welcome.
wshobson/agents	38934	Multi-harness agentic plugin marketplace for Claude Code, Codex, Cursor, OpenCode, GitHub Copilot, and Google Antigravity
Yeachan-Heo/oh-my-claudecode	38668	Teams-first Multi-agent orchestration for Claude Code
musistudio/claude-code-router	36737	One local control plane for every AI agent: route across models, fuse new capabilities, orchestrate tools, and stay fully in control.
continuedev/continue	35547	open-source coding agent
esengine/DeepSeek-Reasonix	34878	DeepSeek-native AI coding agent for your terminal. Engineered around prefix-cache stability — leave it running.
K-Dense-AI/scientific-agent-skills	33926	Turn any AI agent into an AI Scientist. The #1 Agent Skills library for science, used by 175,000+ scientists worldwide. 163 ready-to-use validated skills plus 100+ scientific databases covering biology, chemistry, medicine, and drug discovery. Compatible with Cursor, Claude Code, Codex, Pi, Antigravity, and the open Agent Skills standard.
Yeachan-Heo/oh-my-codex	32749	OmX - Oh My codeX: Your codex is not alone. Add hooks, agent teams, HUDs, and so much more.
JCodesMore/ai-website-cloner-template	32478	Clone any website with one command using AI coding agents
iOfficeAI/AionUi	32123	Open-source 24/7 Cowork app for OpenClaw, Hermes, Claude Code, Codex, OpenCode and 20+ more CLI Agent | Customize your assistants | Team them up｜Star if you like it!
herdrdev/herdr	30690	the runtime your coding agents live on
VoltAgent/awesome-agent-skills	30572	A curated collection of 1000+ agent skills from official dev teams and the community, compatible with Claude Code, Codex, Gemini CLI, Cursor, and more.
mukul975/Anthropic-Cybersecurity-Skills	29881	817 structured cybersecurity skills for AI agents · Mapped to 6 frameworks: MITRE ATT&CK, NIST CSF 2.0, MITRE ATLAS, D3FEND, NIST AI RMF & MITRE F3 (Fight Fraud) · agentskills.io standard · Works with Claude Code, GitHub Copilot, Codex CLI, Cursor, Gemini CLI & 20+ platforms · 29 security domains · Apache 2.0
huggingface/smolagents	28890	🤗 smolagents: a barebones library for agents that think in code.
oraios/serena	28256	A powerful MCP toolkit for coding, providing semantic retrieval and editing capabilities  - the IDE for your agent
BloopAI/vibe-kanban	27857	Get 10X more out of Claude Code, Codex or any coding agent
zarazhangrui/frontend-slides	27828	Create beautiful slides on the web using a coding agent's frontend skills
charmbracelet/crush	27507	Glamourous agentic coding for all 💘
