jwasham/coding-interview-university	359258	A complete computer science study plan to become a software engineer.
donnemartin/interactive-coding-challenges	31741	120+ interactive Python coding interview challenges (algorithms and data structures).  Includes Anki flashcards.
2025Emma/vibe-coding-cn	22760	
terkelg/awesome-creative-coding	15212	Creative Coding: Generative Art, Data visualization, Interaction Design, Resources.
sanbuphy/learn-coding-agent	12227	Research on Coding Agents
coding-horror/basic-computer-games	11095	An updated version of the classic "Basic Computer Games" book, with well-written examples in a variety of common MEMORY SAFE, SCRIPTING programming languages. See https://coding-horror.github.io/basic-computer-games/
rd2coding/Road2Coding	7467	编程之路
ghuntley/how-to-build-a-coding-agent	5812	A workshop that teaches you how to build your own coding agent. Similar to Roo code, Cline, Amp, Cursor, Windsurf or OpenCode.
ombharatiya/FAANG-Coding-Interview-Questions	5765	A curated List of Coding Questions Asked in FAANG Interviews
KimYx0207/AI-Coding-Guide-Zh	5748	Claude Code + OpenClaw + Codex 中文教程 | 39篇完整教程 + 1张速查卡 | 80万+内容量 | 1500+实操示例 | AI Coding / Agent 三线学习路径
clown-coding/vpn	5720	快速搭建一个自己的VPN翻墙科学上网
zhedahht/CodingInterviewChinese2	5408	《剑指Offer：名企面试官精讲典型编程面试题》第二版源代码
Coding-Solo/godot-mcp	5270	MCP server for interfacing with Godot game engine. Provides tools for launching the editor, running projects, and capturing debug output.
filipecalegario/awesome-vibe-coding	5136	A curated list of vibe coding references, collaborating with AI to write code.
gatieme/CodingInterviews	4859	剑指Offer——名企面试官精讲典型编程题
EnzeD/vibe-coding	4757	
Chanda-Abdul/Several-Coding-Patterns-for-Solving-Data-Structures-and-Algorithms-Problems-during-Interviews	4718	Several Coding Patterns for Solving Data Structures and Algorithms Problems during Interviews
dipjul/Grokking-the-Coding-Interview-Patterns-for-Coding-Questions	4412	Grokking the Coding Interview: Patterns for Coding Questions Alternative
mattpocock/dictionary-of-ai-coding	3838	AI coding jargon, explained in plain English.
Dylan-Israel/ultimate-coding-resources	3829	A collection of the best resources for programming, web development, computer science and more.
Happy-Coding-Clans/vue-easytable	3799	A  powerful data table based on vuejs. You can use  it as data grid、Microsoft Excel or Google sheets. It supports virtual scroll、cell edit etc. 
coding/Coding-iOS	3786	CODING iOS 客户端源代码
nishant-Tiwari24/coding-resources	3596	
alexgurr/react-coding-challenges	3430	A series of ReactJS coding challenges with a variety of difficulties. 
MTrajK/coding-problems	3394	Solutions for various coding/algorithmic problems and many useful resources for learning algorithms and data structures
ConardLi/awesome-coding-js	3283	Algorithms and data structures implemented in JavaScript, with detailed explanations and tutorials
KhazP/vibe-coding-prompt-template	2851	Templates and workflow for generating PRDs, Tech Designs, and MVP and more using LLMs for AI IDEs
WordPress/WordPress-Coding-Standards	2823	PHP_CodeSniffer rules (sniffs) to enforce WordPress coding conventions
mahonzhan/awesome-coding-plan	2700	各厂家 Coding Plan 实际价值对比
yzhu798/CodingInterviewsNotes	2665	涵盖C++ Primer 5th、 effective C++ 、 STL api和demos C++ 基础知识与理论、 智能指针、C++11、 Git教程 Linux命令 Unix操作系统（进程、线程、内存管理、信号）计算机网络、 数据结构（排序、查找）、数据库、、C++对象模型、 设计模式、算法（《剑指offer》、leetcode、lintcode、hihocoder、《王道程序员求职宝典》）、面试题、嵌入式相关等
humanlayer/advanced-context-engineering-for-coding-agents	2514	
ndb796/python-for-coding-test	2414	[한빛미디어] "이것이 취업을 위한 코딩 테스트다 with 파이썬" 전체 소스코드 저장소입니다.
doocs/coding-interview	2354	😀 代码面试题集，包括剑指 Offer、编程之美等
liyin2015/python-coding-interview	2315	A middle-to-high level open source algorithm book designed with coding interview at heart!
zarazhangrui/lark-coding-agent-bridge	2296	Bot that bridges Feishu/Lark messenger with a local Claude Code or Codex CLI. Streaming cards, per-chat sessions, multiple workspaces
vava-nessa/free-coding-models	2264	Find, benchmark and install in CLI 170+ FREE coding LLM models across 15+ providers in real time
naver/d2-coding-font	2190	D2 Coding 글꼴
michelpereira/awesome-games-of-coding	2140	A curated list of games that can teach you how to learn a programming language.
c0ny1/chunked-coding-converter	2029	Burp suite 分块传输辅助插件
ai-for-developers/awesome-ai-coding-tools	2014	A curated list of AI-powered coding tools
kevingo/coding-interview-university-zh-tw	1998	coding-interview-university 繁體中文翻譯計畫。原作者：https://github.com/jwasham/coding-interview-university
openai/gpt-5-coding-examples	1908	GPT-5 coding examples
vercel-labs/coding-agent-template	1766	Multi-agent AI coding platform powered by Vercel Sandbox and AI Gateway
mre/the-coding-interview	1743	Programming exercises, code katas and puzzles for your job interview training - or just for fun.
rberg27/doom-coding	1736	A guide for how to use your smartphone to code anywhere at anytime. 
coding/WebIDE	1727	Coding WebIDE Community Edition
coding-kitties/investing-algorithm-framework	1709	Framework for quantitative trading. Complete framework for development, backtesting, and deploying automated trading algorithms and trading bots.
stormzhang/ai-coding-guide	1708	「可能是全网最全的」📘 面向小白的 AI 编程 CLI 中文教程：Claude Code + Codex 92 篇精修
ankitpriyarup/Coding_Notes	1673	
Coding-with-Adam/Dash-by-Plotly	1616	Interactive data analytics
