dyad-sh/dyad	21283	Local, open-source AI app builder for power users ✨ v0 / Lovable / Replit / Bolt alternative 🌟 Star if you like it!
get-convex/chef	4598	The only AI app builder that knows backend
microsoft/PowerApps-Samples	1972	Sample code for Power Apps, including Dataverse, model-driven apps, canvas apps, Power Apps component framework, portals, and AI Builder.
tastyeffectco/sandboxd	910	Open-source, self-hosted AI app builder — an agent builds real apps in isolated sandboxes on your own server, each live at a preview URL. Self-host in one command. MIT.
Marve10s/Better-Fullstack	715	Scaffold production-ready full-stack apps in TypeScript, Rust, Python, Go, and Java with a visual builder and CLI. Choose your frontend, backend, database, auth, AI, payments, and DevOps integrations, all wired together.
giselles-ai/giselle	554	Giselle: AI App Builder. Open Source.
codinit-dev/codinit-dev	260	Local-First Open Source web & mobile AI app builder — install on MacOS, Windows & Linux
Anaconda-Labs/building-intelligent-apps-with-anaconda	228	10-part module to build AI-native apps. From data analysis to multi-agent model harness. For curious learners and serious AI builders.
Gerome-Elassaad/CodingIT	174	CodinIT.dev Demo | Open-source, AI app builder prototype 🌟 Star to support the project!
sa4hnd/vibra-code	120	Open-Source AI App Builder for Mobile — Build apps with AI like vibecodeapp, rork, lovable & bolt.new but fully open source. Describe what you want → AI builds it → Preview on your phone. Built with Claude Code, Expo, React Native, Convex, E2B.
AndyY-Q/launchkit-ai	105	Open-source AI app builder for turning prompts into runnable web apps with sandboxed coding agents.
Amery2010/open-builder	90	Open Builder is an open-source AI-powered app generator. Build web applications through natural language conversations.
SFARPak/AliFullStack	73	Free Local-first Full-Stack AI App Builder & Automation — Build, Test & Deploy with LLMs - Antigravity, Lovable, Bolt opensource Alternative ✨ 🌟 Star if you like it!
joylarkin/AI-Coding-Landscape	61	AI coding models, agents, CLIs, IDEs, AI app builders, open source tooling, benchmarks
opensearch-project/flow-framework	60	OpenSearch plugin that enables builders to innovate AI apps on OpenSearch
suntay44/buildable-plugin-skills	53	Local-first AI app-builder brain for Claude Code, Codex, and Cursor: archetypes, golden templates, UI/UX playbooks, and review loops, designed to load less bundled context in evals.
sammwyy/singulary	49	Self-host your own AI app builder: FOSS v0/Lovable like.
ondateta/teta	43	The open source, AI-powered app builder
Array-Ventures/coworker	41	Open-source AI agent with MCP UI, app builder, A2A protocol, skills marketplace, and multi-provider chat. Built with Mastra. Alternative to OpenClaw.
piyush-eon/ai-app-builder	38	Full Stack Agentic App Builder with Next JS, Supabase, Gemini AI, Cline SDK, Shadcn UI Tutorial 🔥🔥
MarsZ42/Awel	38	🌸 Local, Open Source AI agent/App Builder that lives inside your Next.js app
totalumlabs/ai-app-builder-open	31	Open-source AI app builder — turn a prompt into a full-stack Next.js web app with built-in hosting, sandbox, database, auth, AI integration, github bidirectional, multitenant, custom domain & more. Self-hosted, no-code. A free v0 / Lovable / Bolt / Replit alternative. ⭐
doable-me/Doable	24	The self-hosted, multi-tenant AI app builder for teams. Sandboxed, audit-logged, MIT-licensed. The open-source alternative to Multi-Tenant Saas buiders.
tophers/MixerBee	22	A self-hosted web app for building smart playlists on your Emby or JellyFin server. Mix TV shows, create movie playlists from advanced filters, schedule automatic updates, or use the optional AI Block Builder to create playlists from natural language prompts.
sanidhyy/lovable-clone	21	AI-powered application builder built with Next.js 16 that lets you create apps and websites by chatting with AI.
