name	maker	license	url	source_code_url	what_makes_it_special	platforms	first_released	current_release
Qoder	Qoder	Proprietary	https://qoder.com		Multi-agent platform for real work with long-term delegation, memory and knowledge engine	Web	2025	2026
Augment Code	Augment Code	Proprietary	https://www.augmentcode.com		Enterprise AI coding agent with 200K token context and deep codebase understanding	IDE;CLI	2024	2026
Tongyi Lingma	Alibaba Cloud	Proprietary	https://lingma.aliyun.com		Alibaba's AI coding assistant with strong Chinese language support and enterprise R&D integration	IDE;CLI	2023	2026
Fitten Code	Fitten Tech	Proprietary	https://code.fittentech.com		Chinese AI code completion tool with local model support and free tier	IDE	2023	2026
Jules	Google	Proprietary	https://jules.google		Google's AI coding agent that handles GitHub issues asynchronously in cloud VMs	Web;CLI	2025	2026
Genspark AI Developer	Genspark	Proprietary	https://www.genspark.ai		Autonomous L4 coding agent that can handle full software development tasks	Web	2025	2026
Eigent AI	Eigent	Open-source	https://eigent.ai	https://github.com/eigent-ai/eigent	Open source software agent and Devin alternative	CLI;Web	2024	2026
MCPlato	MCPlato	Proprietary	https://mcplato.com		Agent OS and software engineer platform	Web	2025	2026
Factory	Factory AI	Proprietary	https://www.factory.ai		Autonomous software engineer for $10 pricing handling full dev workflows	Web	2024	2026
Engine	Engine Labs	Proprietary	https://enginelabs.ai		Autonomous software engineer with high SWE-bench scores	Web;CLI	2025	2026
NVIDIA NeMo Agent Toolkit	NVIDIA	Apache-2.0	https://developer.nvidia.com/nemo-agent-toolkit	https://github.com/NVIDIA/NeMo	AI code generation agent toolkit from NVIDIA	CLI;Library	2024	2026
Canva AI Coding	Canva	Proprietary	https://www.canva.com/ai-coding/		Free AI coding tool by Canva for generating apps and designs	Web	2025	2026
CodeAGI	SOPPRA DX	Proprietary	https://soppradx.com		Program auto-generation AI app	Web	2024	2026
Otto	Otto	Open-source	https://github.com/otto-ai/otto	https://github.com/otto-ai/otto	Autonomous software engineer that runs in the browser	Web	2024	2026
Intent	Augment Code	Proprietary	https://www.augmentcode.com/tools/intent		Autonomous agent and developer tool from Augment Code	IDE;CLI	2025	2026
