name	maker	license	url	source_code_url	what_makes_it_special	platforms	first_released	current_release
Muse Code	Meta	Proprietary	https://github.com/meta-ai/muse-code		Meta's terminal coding agent powered by Muse Spark model	CLI	2026	2026
Kiro	Kiro Inc	Proprietary	https://kiro.dev		AI coding agent with spec-driven development and AWS integration	IDE	2025	2026
Comet	Comet	Proprietary	https://comet.com		AI coding assistant and agent platform	IDE;Web	2025	2026
Poke	Poke AI	Proprietary	https://poke.ai		AI coding agent tool	Web	2025	2026
Z.ai Code	Z.ai	Proprietary	https://z.ai/code		AI coding agent from Z.ai	CLI;Web	2025	2026
Same.dev	Same	Proprietary	https://same.dev		AI web app builder similar to v0 and Bolt	Web	2024	2026
Traycer AI	Traycer	Proprietary	https://traycer.ai		AI coding agent for software development	IDE	2025	2026
VSCode Agent	Microsoft	Proprietary	https://code.visualstudio.com/agent		Built-in AI agent in VS Code for code generation and editing	IDE	2025	2026
Dia	Dia	Proprietary	https://dia.ai		AI coding and development tool	Web	2025	2026
Orchids.app	Orchids	Proprietary	https://orchids.app		AI development tool for building applications	Web	2025	2026
NotionAI	Notion	Proprietary	https://notion.so/ai		AI assistant integrated into Notion including coding capabilities	Web	2023	2026
Cluely	Cluely	Proprietary	https://cluely.ai		AI coding assistant tool	Web	2025	2026
Manus	Manus AI	Proprietary	https://manus.im		General AI agent that can write and execute code autonomously	Web	2025	2026
